,Company,Cumulative Diff,Std Dev Diff
250,GME,136.03630810670373,4.970878242591272
547,TSCO,109.13263254436498,5.275467876720605
75,BAX,101.14853266239263,3.6463023266368393
545,TRU,96.95866439141666,3.0168207478568294
346,LNT,89.97700383546236,3.7915563867115027
62,ATO,88.80190568616621,3.088393436678737
313,JLL,85.27840967387931,2.6678789743648985
298,IP,83.90034656485544,3.553377969704771
173,DNB,81.97159002286907,3.839308240397644
193,EIX,81.6994947314421,2.752052445022541
163,DG,78.024576920556,2.934136391922733
379,MMC,77.04434556260479,4.063660571910591
208,ETR,75.35693448373094,2.9708396968941857
132,CMG,73.94539542946947,2.8694281691642405
371,MET,73.48306452758719,2.7409190327320183
603,WU,73.4004485255463,2.3539202549633096
565,URBN,73.05141175916745,2.4250547682538
373,MHK,72.26366153896568,4.10531638318374
434,PANW,71.95759547684595,2.9590841348557304
63,ATVI,71.90743192442415,2.3846038466130404
102,CB,71.65123651670919,4.1760833914626625
229,FL,71.3899716044978,3.0645604574715346
79,BDX,70.8961226407107,3.1865571959999297
528,TAP,70.6611701424771,2.846198067362693
82,BG,70.61205748222399,2.819028464600563
84,BHGE,70.39729624015735,2.3115862164512673
421,NYCB,69.69997460276784,4.031719006760384
318,K,68.99830741894559,2.9737297136036944
120,CHK,68.82860314524513,2.4693934237626376
534,TIF,67.81510588719992,2.405706760198191
507,SO,67.62340967322422,2.4374318039652882
20,AFL,67.42613203812037,3.3877105350245307
166,DHR,67.38440891499627,2.610412874775619
506,SNPS,67.34659755415416,3.3605974120848794
407,NKE,66.9071963882877,2.5536551443442113
188,EBAY,66.73585409279237,2.2221226178463396
390,MTB,66.25949304029172,2.9081945737506647
525,SYMC,66.2179102632248,2.8329004271116385
213,EXC,66.17833811793199,3.3162338164265797
486,RSG,65.87427127498167,2.3794154067526434
310,JCI,65.62682842910786,2.3094470565256837
584,WAB,65.58784420138204,2.4232390900930385
109,CCL,65.12480141726309,2.6060597855357277
5,ABC,65.05696977071453,2.8564863713462354
561,UNH,63.86604843932134,2.0905464385779413
100,CAH,63.7631712571741,2.199245762212311
187,EA,63.50302168310245,3.916641289990276
385,MRO,63.44801316440645,2.3211423770995494
378,MLM,63.30995829092269,2.067794081423682
500,SIRI,62.60937213376062,2.324900291702563
59,ARW,62.54002510005692,4.079470459342216
595,WHR,62.361483267099004,3.4424637076015756
38,AME,62.32800392850602,3.4011448107226205
16,AEP,62.129092552723314,2.9326493606413
154,CTXS,61.840480983899866,3.319965262294323
261,HAL,61.65498849068216,1.9099078300066425
185,DXC,61.439706723751556,3.293175560510065
515,STI,61.30870551641966,2.6641800571711345
0,A,60.97725333953251,2.2662521968371605
23,AIG,60.81745211144739,2.483263250726354
581,VRTX,60.78309314011529,2.2481891510455645
537,TMO,60.70431263678882,2.6691044871225875
151,CTAS,60.616507501054784,4.706292976957974
122,CHTR,60.4769877652741,2.35426232123511
58,ARMK,60.18497996170938,2.1996452732424587
554,TXN,59.711869341716046,1.9265584807721605
564,UPS,59.603661292457865,2.172128284829916
327,KO,59.44659894347929,2.1275262264751134
133,CMI,59.42103219788893,1.899824304535347
90,BMY,59.3321668641893,2.5162861274790953
518,STX,59.19853235926305,2.6774078562141654
279,HPQ,58.9524422410648,2.2195479483617553
449,PII,58.75715902327673,2.8854965178117706
367,MDLZ,58.6951500607913,2.0908396723312554
481,ROK,58.68716485411664,2.3320568362952105
129,CMA,58.4270781185646,2.943120295117799
409,NOV,58.3294645240917,2.260233250500215
35,ALXN,58.32941156646855,2.4970985973433675
516,STLD,58.2591007638181,2.6581766237625795
446,PGR,57.97343770925315,3.46389020609954
144,CPB,57.969509063163294,2.696981682403268
393,MU,57.62253689942949,2.1838064809373865
164,DGX,57.55830645554626,2.6144680383145324
577,VMW,57.4249923638103,1.9210533949328716
232,FLR,57.41019990083141,4.218537695425016
74,BAC,57.36472191274853,1.9514125978282924
161,DE,57.29697912642182,2.341544178436519
575,VLO,56.942242440877024,1.9621255419445116
608,XEL,56.920277258315416,1.940949376012248
73,AZO,56.830650369731735,2.6179149895753033
153,CTSH,56.65831713198257,3.736635840964965
315,JNPR,56.65625519720667,3.066473809572055
400,NCLH,56.568556137583826,2.2748069961239845
26,AKAM,56.47617093781319,2.602788135981088
402,NEE,56.47340062676618,2.077922533370032
273,HLT,56.1794130209612,2.7372734842673347
22,AGN,55.90707170204238,1.922030373577095
513,SRE,55.66077340995037,2.24584777348653
343,LM,55.57927380352914,3.3422762668667163
