,Company,Cumulative Diff,Std Dev Diff
409,NKE,94.52854770911526,3.136740039265864
550,TRU,94.21492093019765,2.8940207922804784
549,TSCO,93.24941343066239,4.762943381220127
323,K,90.87448814825076,3.672634828229237
203,EIX,85.6670601786562,3.000138208679326
241,FLR,85.02435000612276,4.402403950054822
243,FL,80.53792392102687,3.1726578705861046
129,CB,78.84966358556305,3.8327697538625816
185,DG,78.68139046135065,2.931153129919509
25,LNT,73.68020458587756,3.138503277044139
117,CELG,71.60209931053713,3.034805900633021
193,DNB,71.34522011698812,3.7105790219584396
77,BHGE,70.00710055479541,2.3399249738900854
354,MTB,69.62965491118973,2.8953346322449707
563,UPS,69.21341580229975,2.26456898226561
253,GME,67.82946566531525,2.5440800092520752
128,CMG,66.82200813616633,2.317569647043183
498,NOW,66.5694662038038,3.2307318796645608
60,ARW,66.43779238987963,3.452171999515955
94,BMY,66.19394184914412,2.6397656152058135
99,BG,65.85931348384972,2.406399199794195
569,URBN,65.81248954893515,1.9569086546922672
304,IP,65.02159703260982,2.6888349034712604
566,UNH,64.97226411728789,2.1434884555372054
209,ETR,64.80804126195929,2.477089872505196
431,PCAR,64.59752421051697,2.6648872932501466
126,CHK,64.31871550077796,2.234733748037618
602,WAB,64.14461019789913,1.9144684603156756
364,MMC,64.01310903069117,3.044641135751351
57,ACGL,63.94017385473293,3.15507573940158
70,AZO,63.880241134039274,2.822402644793146
402,NYCB,63.046138632856966,3.2904241492015016
28,ALNY,62.77692981539965,2.651208470140761
37,AIG,62.17745647819086,2.6503935307183286
12,AFL,62.170429861477324,3.068754189532696
450,PII,62.16871110878042,3.1719575412847103
7,AAP,62.008326022392716,2.8681755907484576
220,EXC,61.972466749940516,3.1114635730149205
433,PANW,61.84198125559972,2.5183609330218775
379,MET,61.31346206029783,2.1498764087276387
319,JLL,61.30083310149508,2.1443374722366184
34,AEP,60.99130446244107,2.648798880895782
520,STI,60.95159393890891,2.3979621680385517
267,HAL,60.619686929941516,2.053196436647898
41,ABC,60.57941778474877,2.8419521756631765
429,OC,60.52057318290841,3.1833963753113217
601,WU,60.38910091024853,2.230087443108621
361,MPC,59.995802305134994,2.35254381910085
517,STLD,59.67201962073317,2.6252341147945515
232,FEYE,59.517391253975454,2.7398073320352743
387,TAP,59.26714858226945,2.2327097210288103
544,TIF,59.18184235753374,2.184786410791541
506,SO,59.117074970245014,2.371159301861213
65,ATO,59.11185581255904,2.0378004775188128
606,WHR,58.47252929098572,3.1717562647702935
336,LVS,58.41541445520033,2.1520520309030013
213,EFX,58.23525396182776,1.920142712275333
281,HLT,57.867263135066985,2.612722367579012
102,COG,57.64280391182257,2.4706125756053168
201,ECL,57.6021617499505,4.434475957028793
83,BDX,57.570195927466074,2.406592858007297
479,RSG,57.33338710215734,2.0885498089202557
269,HOG,57.21777433993575,1.9315868862269419
360,MRO,57.157434035686926,1.9662923135618178
451,PPG,56.77128968084897,2.1143012539663375
532,TGT,56.675915042193914,3.6670139586000015
109,CCL,56.104598388485705,2.1927871649350696
571,VLO,55.93193618889528,1.9264812921794403
502,SIRI,55.88035473737387,1.6745501828175342
497,SRE,55.60642232652334,1.9964748895261772
107,CAH,55.57527462436588,1.904576599614064
611,WYNN,55.43587350160111,2.10197033918649
338,LM,55.387459589008884,3.235142486051182
413,NSC,55.048058476485615,2.016780364598286
486,RCL,55.02510211183822,2.119326404803478
614,XLNX,54.83205089036938,1.8043990699780816
335,LRCX,54.67924465386192,2.5213816521244254
437,PAYX,54.25275202341237,2.5141595688725804
524,SNPS,54.12112110823955,2.6012561722076972
194,DXC,53.97899243996133,2.6910120622566844
81,BAX,53.80411976828536,1.9611087393286504
298,IR,53.71353680170235,2.3706096280763154
133,CTAS,53.39232087370766,4.066610607017375
579,VRTX,53.17838355231713,1.9978423284280669
176,DVN,53.06861668621882,2.145755274381911
98,BF/B,52.88218218706919,3.163806672909963
406,NWSA,52.85869655255251,1.619519764195969
386,MHK,52.80525818641464,2.8370278258002117
56,ARMK,52.55440589510173,1.9600474067446083
147,CMA,52.49124813578652,2.428084701979203
122,CF,52.38755229592135,2.9768743210716195
398,NOV,51.88291396489916,1.9042000254034588
289,HUM,51.76453607639874,2.788468590609129
333,LB,51.58280416316504,2.7158398050471826
352,LULU,51.33816878653045,2.749181235933951
612,XEL,51.03858915520739,1.8908250322729419
54,AMAT,50.80679955038051,2.1439835967781815
407,NEE,50.62347029355871,1.7884374110433554
110,CAT,50.101524675762846,1.648725758773364
308,IVZ,50.07232470523678,1.8079885242028058
142,KO,50.01517797168955,1.6392773325659025
165,CMI,49.70662290156999,1.4907096195036342
186,DLTR,49.56461342329709,1.6103688939868788
288,HPQ,49.127465761233815,1.751527658670958
16,AKAM,48.761868707264064,2.160957533040817
119,CNP,48.70855894364411,2.451333926774328
18,ALXN,48.48402081287731,1.9657194405028888
415,NCLH,48.415156922630366,1.829742200320991
456,PGR,48.16680454949801,3.135939349070372
613,XRX,48.06621401382055,1.5526054940654164
162,CCI,47.94757693736423,2.402698431354243
144,CTSH,47.838097330204526,2.477323344810537
316,JAZZ,47.80074008516384,2.8930360382509948
184,DISH,47.74563323223966,1.85790741349562
383,MU,47.35563238483419,1.6997249246620265
72,AVY,47.311879628318806,3.867646319501203
475,REGN,47.207885979780016,1.5255016380621413
171,DE,47.16983749949477,1.8614992124754217
533,AMTD,47.08804956616425,1.5047242744168154
365,MLM,47.05904018382002,1.5157868907947456
284,HD,46.926275073852395,2.0844227915124467
101,CA,46.907108332819256,1.5744637973763183
489,CRM,46.79260130897596,3.1569495028408454
480,RMD,46.3969414323082,2.199487923450455
105,CPB,46.16688216294229,2.024287352430596
200,EBAY,46.14037339025808,1.436408538073068
247,FTV,46.0223737524414,2.4355228562825237
167,DHI,46.01040781264335,4.090315439707416
23,AGN,45.9835536939403,1.542468460295952
466,DGX,45.90554352162022,1.8090226306983341
113,CBS,45.880634255557446,2.714448260680168
388,MDLZ,45.811472487706425,1.601217031378105
378,MRK,45.677743855893304,1.7705970249501026
124,CHTR,45.369011740086805,1.832162143700079
52,APA,45.35492361108987,1.6989020273616253
279,HES,45.20554347522973,2.4810809876901376
596,WFTIQ,45.175413715487856,1.5233723312849
123,SCHW,44.850417188517945,1.542494945489216
373,MCK,44.79339197170764,1.3823038759641397
204,EW,44.78221646533759,2.506153881080395
278,HSY,44.65107778122193,1.906762378662069
182,DFS,44.60060898033775,2.617747397330892
14,A,44.369630615789895,1.595962494342243
254,GPS,44.25993759354591,1.5523568210672245
17,ALB,44.212765918630446,2.5698745913330088
221,EXPE,44.08470995490181,1.4646169257022705
43,AMGN,43.919090482562034,1.5036550901728263
493,STX,43.837482882972814,1.8835069365822248
457,PLD,43.5312918152946,2.0152410020806957
363,MAR,43.39552743829759,1.3371683045650204
10,AET,43.185884870076016,1.4103793555489812
90,BWA,43.132536604788505,1.9006238447874315
270,HIG,42.829936485048165,2.9639060777022244
382,MCHP,42.81724818444561,1.8383621805089223
322,KSU,42.66270171768358,2.201995509438511
494,SEE,42.63157959355644,3.58232123301961
576,VRSN,42.59048036902047,2.539714886751185
472,O,42.41621144116104,1.5006196476554712
369,MAT,42.39311896084693,1.5784145180249232
577,VRSK,42.362183040758595,1.3432723745274622
583,VMW,42.30194983280183,1.4478790207192742
469,RJF,42.2567881566507,2.135473500744178
588,GRA,42.14778216714224,6.006976156077263
250,BEN,41.96805625925766,1.9943458231448823
321,JNPR,41.94456844949835,1.8881423340308499
138,CTXS,41.887395112098496,1.8535868080113322
580,VFC,41.88177466848004,1.8231447922518116
296,ILMN,41.824558164849755,1.9512289409928596
325,KMB,41.81786346452046,2.7532551307730313
610,WYND,41.79331673643686,3.2842224374232782
137,CFG,41.79094145992011,3.7089674974369733
276,HSIC,41.77834843812595,3.8148219414542313
91,BXP,41.769175486922215,2.828619036133014
620,ZBH,41.733518638562465,2.2032438408061625
179,FANG,41.68478467232486,1.9485104742626858
259,GM,41.641957391040116,1.6767716181344687
108,KMX,41.62311798467244,3.4696499021552807
87,BIIB,41.619819936829806,1.8629478528914558
205,EA,41.61444769175255,1.6673594164094647
527,TROW,41.46067852439941,3.110972336482337
263,GPN,41.31928107118947,1.9176666255266674
595,WAT,41.31118233948677,1.64300318400175
13,AGCO,41.23362340653531,1.7663909276581067
331,KHC,41.22337768457414,1.6741785738384636
467,RL,40.814250585554895,2.414777836770472
151,COP,40.78629495871637,1.410559658996145
458,PRU,40.744387474787,1.4473799647693468
438,PYPL,40.7393354646043,1.8552241993537628
347,LNC,40.585867705086926,2.3759274134851798
2,ABBV,40.56847556225504,1.5552885883918064
297,INCY,40.46001579272781,4.708796207618165
45,APC,40.45579303625276,1.3915713608810862
181,DLR,40.42304799814226,1.562025201267213
561,UNP,40.41381538587417,1.4366555529749798
485,ROST,40.32826886891407,1.8133642122735556
411,NBL,40.31299406319953,1.438143513603265
265,GT,40.20275360585479,1.6589939581874469
295,ITW,40.188383802733064,1.6543536639988419
120,CTL,40.02880077535491,2.524580141380605
152,ED,39.875598255377014,3.6368723754953955
600,WDC,39.8713581649831,1.667457533577444
223,EXR,39.82608344701246,2.283166542202725
79,BAC,39.76723964695916,1.3371899026609115
535,FTI,39.717177699544195,2.1801837532144837
8,AMD,39.63167120561414,1.5500556984479053
169,DRI,39.596374613718055,1.659593292146124
164,CSX,39.591065778432814,2.9221345526882048
337,LEA,39.42545865661971,1.9457542047822711
616,XYL,39.364774113040625,3.225083211816468
394,MUR,39.197217595957476,2.0374950566976118
240,FLS,39.196791207342194,2.267131732649767
540,TSLA,39.028619791886285,1.3160400042499387
216,ESS,38.46210436454596,5.262034052568912
139,CLX,38.44520418183748,1.641671159233595
305,IPG,38.329214916377374,3.1200993522282165
