,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
11918,"Mori Trust Sogo Reit, Inc.",Reit,Mori Trust Sogo Reit Inc,Common Stock,Reit,Reit,-1
11948,Motley Fool 100 Index Etf,Etf,Motley Fool 100 Index Etf,Etf,Etp,Mutual Fund,-1
12036,Murray Income Trust Plc,Closed-End Fund,Murray Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
12037,Murray International Tr-O,Closed-End Fund,Murray International Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
12055,Mv Oil Trust,Royalty Trst,Mv Oil Trust,Common Stock,Royalty Trst,Common Stock,-1
12139,Nano Dimension Ltd,Common Stock,Nano Dimension Ltd,Common Stock,Adr,Depositary Receipt,-1
12164,Naos Emerging Opportunities,Closed-End Fund,Naos Emerging Opportunities,Common Stock,Closed-End Fund,Mutual Fund,-1
12174,Nasdaq 7 Handl Index Etf,Etf,Strategy Shares Nasdaq 7 Handl™ Index Etf,Etf,Etp,Mutual Fund,-1
12203,National Grid Plc-Sp Adr,Adr,National Grid Plc Adr,Common Stock,Adr,Depositary Receipt,-1
12214,National Retail Properties,Reit,National Retail Properties Inc,Common Stock,Reit,Reit,-1
12215,National Rural Utilities Cooperative Finance Corp,Preferred Stock,National Rural Utilities Cooperative Finance Corp,Etf,Public,Preferred Stock,-1
12221,National Storage Affiliates,Reit,National Storage Affiliates Trust,Common Stock,Reit,Reit,-1
12244,Natural Resource Partners Lp,Mlp,Natural Resource Partners Lp,Common Stock,Mlp,Partnership Shares,-1
12267,Navios Maritime Partners Lp,Mlp,Navios Maritime Partners Lp Unit,Common Stock,Mlp,Partnership Shares,-1
12275,Nb Global Corporate Income T,Closed-End Fund,Nb Global Corporate Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
12276,Nb Private Equity Partners L,Closed-End Fund,Nb Private Equity Partners Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
12277,Nb Private Equity Partners L,Closed-End Fund,Nb Private Equity Partners Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
12280,Nbi Liquid Alternatives Etf,Etf,Nbi Liquid Alternatives,Common Stock,Etp,Mutual Fund,-1
12333,Nestle Sa-Spons Adr,Adr,Nestle Sa Adr,Common Stock,Adr,Depositary Receipt,-1
12344,Netease Inc-Adr,Adr,Netease Inc,Common Stock,Adr,Depositary Receipt,-1
12348,Netlink Nbn Trust,Unit,Netlink Nbn Trust,Common Stock,Unit,Unit,-1
12360,Neuberger Berman Municipal,Closed-End Fund,Neuberger Berman Imf Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
12414,Newriver Reit Plc,Reit,Newriver Reit Plc,Common Stock,Reit,Reit,-1
12434,Nexpoint Residential,Reit,Nexpoint Residential Trust Inc,Common Stock,Reit,Reit,-1
12446,Nextenergy Solar Fund Ltd,Closed-End Fund,Nextenergy Solar Fund Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
12467,Ngl Energy Partners Lp,Mlp,Ngl Energy Partners Lp,Common Stock,Mlp,Partnership Shares,-1
12522,Nikko Etf - Topix,Etf,Nikko Topix Listed,Etf,Etp,Mutual Fund,-1
12545,Nippon Building Fund Inc,Reit,Nippon Building Fund Inc,Common Stock,Reit,Reit,-1
12572,Nippon Prologis Reit Inc,Reit,Nippon Prologis Reit Inc,Common Stock,Reit,Reit,-1
12635,Noah Holdings Ltd-Spon Ads,Adr,Noah Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
12656,Nokia Corp-Spon Adr,Adr,Nokia Corp Adr,Common Stock,Adr,Depositary Receipt,-1
12702,Northern Electric Plc Prf,Preferred Stock,Northern Electric Plc 8.061P(Net)Cum Irrd Prf 1P,Common Stock,Public,Preferred Stock,-1
12766,Novatek Pjsc-Spons Gdr Reg S,Gdr,Novatek Drc,Common Stock,Gdr,Depositary Receipt,-1
12808,Nucana Plc-Adr,Adr,Nucana Plc,Common Stock,Adr,Depositary Receipt,-1
12815,Nufarm Finance Nz Ltd-Nss,Bond,,,Australian,Corp,-1
12824,Nustar Energy Lp,Mlp,Nustar Energy Lp,Common Stock,Mlp,Partnership Shares,-1
12869,Nzam Etf J-Reit Index,Etf,Nzam J-Reit,Etf,Etp,Mutual Fund,-1
12909,Octopus Apollo Vct,Closed-End Fund,Octopus Apollo Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
12920,Odyssean Investment Trust Pl,Closed-End Fund,Odyssean Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
12926,Office Properties Income Tru,Reit,Office Properties Income Trust,Common Stock,Reit,Reit,-1
12932,Ofs Credit Co Inc,Closed-End Fund,Ofs Credit Company Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
13004,Omega Healthcare Investors,Reit,Omega Healthcare Investors Inc,Common Stock,Reit,Reit,-1
13051,Oneview Healthcare Plc-Cdi,Cdi,Oneview Healthcare Plc,Common Stock,Cdi,Depositary Receipt,-1
13075,Opera Ltd-Adr,Adr,Opera Ltd,Common Stock,Adr,Depositary Receipt,-1
13136,Orchard Therapeutics Plc,Adr,Orchard Therapeutics Plc,Common Stock,Adr,Depositary Receipt,-1
13138,Orchid Island Capital Inc,Reit,Orchid Isla,Common Stock,Reit,Reit,-1
13185,Orion Equities Ltd,Closed-End Fund,Orion Equities Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
13232,Osprey Medical Inc-Cdi,Cdi,Osprey Medical Inc,Common Stock,Cdi,Depositary Receipt,-1
13236,Ossiam Shlr Bcly Cape Erp Sv,Etf,Ossiam Shiller Barclays Cape Europe Sector Value Tr Ucits,Etf,Etp,Mutual Fund,-1
13256,Outfront Media Inc,Reit,Outfront Media Inc,Common Stock,Reit,Reit,-1
13292,Pacer Us Cash Cows Growth,Etf,Pacer Us Cash Cows Growth Etf,Etf,Etp,Mutual Fund,-1
13297,Pacific Assets Trust Plc,Closed-End Fund,Pacific Assets Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
13314,Pacific Horizon Inv Tr Plc,Closed-End Fund,Pacific Horizon Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
13358,Palace Capital Plc,Reit,Palace Capital Plc,Common Stock,Reit,Reit,-1
13376,Pampa Energia Sa-Spon Adr,Adr,Pampa Energia Sa Adr,Common Stock,Adr,Depositary Receipt,-1
13454,Park Hotels & Resorts Inc,Reit,Park Hotels & Resorts Inc,Common Stock,Reit,Reit,-1
13476,Partner Communications-Adr,Adr,Partner Communications Company Ltd,Common Stock,Adr,Depositary Receipt,-1
13555,Pearson Plc-Sponsored Adr,Adr,Pearson Plc Adr,Common Stock,Adr,Depositary Receipt,-1
13557,Pebblebrook Hotel Trust,Reit,Pebblebrook Hotel Trust,Common Stock,Reit,Reit,-1
13579,Pembroke Vct Plc-Class B,Closed-End Fund,Pembroke Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
13581,Pender Growth Fund Inc,Closed-End Fund,Pender Growth Fund Vcc Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
13604,Pennymac Mortgage Investment,Reit,Pennymac Mortgage Investment Trust,Common Stock,Reit,Reit,-1
13629,Peregrine Pharmaceuticals Inc,Convpreferred,,,Public,Preferred Stock,-1
13645,Permian Basin Royalty Trust,Royalty Trst,Permian Basin Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
13646,Permianville Royalty Trust,Royalty Trst,Permianville Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
13647,Permrock Royalty Trust,Royalty Trst,Permrock Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
13655,Pershing Square Holdings Ltd,Closed-End Fund,Pershing Square Holdings Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
13663,Perth Mint Physical Gold Etf,Etf,,,Etp,Mutual Fund,-1
13676,Petrobras - Petroleo Bras-Pr,Preference,Petróleo Brasileiro S.A. - Petrobras,Preferred Stock,Preference,Preference,-1
13682,Petroleo Brasileiro-Spon Adr,Adr,Petroleo Brasileiro Petrobras Sa Adr,Common Stock,Adr,Depositary Receipt,-1
13762,Phoenix New Media Ltd -Adr,Adr,Phoenix New Media Limited,Common Stock,Adr,Depositary Receipt,-1
13774,Physicians Realty Trust,Reit,Physicians Realty Trust,Common Stock,Reit,Reit,-1
13783,Picton Property Income Ltd,Reit,Picton Property Income Ltd,Common Stock,Reit,Reit,-1
13788,Piedmont Office Realty Tru-A,Reit,Piedmont Office Realty Trust Inc,Common Stock,Reit,Reit,-1
13805,Pimco Active Bond Exchange-T,Etf,Pimco Active Bond Exchange-Traded Fund,Etf,Etp,Mutual Fund,-1
13811,Pinduoduo Inc-Adr,Adr,Pinduoduo,Common Stock,Adr,Depositary Receipt,-1
13841,Pioneer Diversified High Inc,Closed-End Fund,Pioneer Diversified High It,Common Stock,Closed-End Fund,Mutual Fund,-1
13863,Pivotal Systems Corp Inc-Cdi,Cdi,Pivotal Systems Corporation Inc,Common Stock,Cdi,Depositary Receipt,-1
13875,Plains All Amer Pipeline Lp,Mlp,Plains All American Pipeline Lp,Common Stock,Mlp,Partnership Shares,-1
13896,Platinum Asia Fund Etf,Etf,Platinum Asia Fund Quoted Managed Hedge Fund,Common Stock,Etp,Mutual Fund,-1
13897,Platinum Asia Investments Lt,Closed-End Fund,Platinum Asia Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
13899,Platinum Capital Limited,Closed-End Fund,Platinum Capital Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
13901,Platinum International Fund,Etf,Platinum International Fund (Quoted Managed Hedge Fund),Common Stock,Etp,Mutual Fund,-1
13905,Plato Income Maximiser Ltd,Closed-End Fund,Plato Income Maximiser Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
13918,Pldt Inc-Spon Adr,Adr,Pldt Inc Adr,Common Stock,Adr,Depositary Receipt,-1
13929,Plymouth Industrial Reit Inc,Reit,Plymouth Industrial Reit Inc,Common Stock,Reit,Reit,-1
13953,Polar Capital Global Financi,Closed-End Fund,Polar Capital Global Financials Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
13955,Polar Capital Technology Tr,Closed-End Fund,Polar Capital Technology Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
13976,Polymetal Internation-Sp Adr,Adr,Polymetal International Plc Adr,Common Stock,Adr,Depositary Receipt,-1
13997,Porsche Automobil Hldg-Prf,Preference,Porsche Automobil Holding Se,Common Stock,Preference,Preference,-1
14018,Postal Realty Trust Inc- A,Common Stock,Postal Realty Trust Inc,Common Stock,Reit,Reit,-1
14023,Potlatchdeltic Corp,Reit,Potlatchdeltic Corp,Common Stock,Reit,Reit,-1
14097,Premise Capital Diversified,Etf,Premise Capital Diversified Tactical Etf,Etf,Etp,Mutual Fund,-1
14133,Princess Priv Eqty Hold Ltd,Closed-End Fund,Princess Private Equity Holding Ltd,Common Stock,Pvt Eqty Fund,Mutual Fund,-1
14134,Princess Priv Eqty Hold Ltd,Closed-End Fund,Princess Private Equity Holding Ltd,Common Stock,Pvt Eqty Fund,Mutual Fund,-1
14138,Principal Healthcare Innov,Etf,Principal Healthcare Innovators Etf,Etf,Etp,Mutual Fund,-1
14199,Proshares Trust-S&P 500 Ex-H,Etf,Proshares S&P 500® Ex-Health Care Etf,Etf,Etp,Mutual Fund,-1
14200,Proshares Ultra Health Care,Etf,Proshares Ultra Health Care,Etf,Etp,Mutual Fund,-1
14202,Proshares Ultra Silver,Etf,Proshares Ultra Silver,Etf,Etp,Mutual Fund,-1
14203,Proshares Ultra Technology,Etf,Proshares Ultra Technology,Etf,Etp,Mutual Fund,-1
14204,Proshares Ultrashort Oil&Gas,Etf,Proshares Trust - Proshares Ultrashort Oil & Gas,Etf,Etp,Mutual Fund,-1
14235,Proven Growth & Income Vct,Closed-End Fund,Proven Growth And Income Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
14244,Proximus-Unspon Adr,Adr,Proximus Nv Adr,Common Stock,Adr,Depositary Receipt,-1
14252,Ps Business Parks Inc/Ca,Reit,Ps Business Parks Inc,Common Stock,Reit,Reit,-1
14313,Purpose Behavioural Opportun,Etf,,,Etp,Mutual Fund,-1
14314,Purpose Core Dividend Fund,Etf,Purpose Core Dividend,Common Stock,Etp,Mutual Fund,-1
14316,Purpose Global Bond Fund,Etf,Purpose Global Bond Fund Series Etf,Etf,Etp,Mutual Fund,-1
14317,Purpose Monthly Income Fund,Etf,,,Etp,Mutual Fund,-1
14318,Purpose Premium Yield Fund,Etf,Purpose Premium Yield,Common Stock,Etp,Mutual Fund,-1
14319,Purpose Strategic Yield Fund,Etf,Purpose Strategic Yield Fund Etf,Etf,Etp,Mutual Fund,-1
14320,Purpose Us Dividend Fund,Etf,,,Etp,Mutual Fund,-1
14329,Puyi Inc - Adr,Adr,Puyi Inc Adr,Common Stock,Adr,Depositary Receipt,-1
14364,Qiwi Plc-Sponsored Adr,Adr,Qiwi Plc,Common Stock,Adr,Depositary Receipt,-1
14418,Qudian Inc-Spon Adr,Adr,Qudian Inc,Common Stock,Adr,Depositary Receipt,-1
14458,Qutoutiao Inc-Adr,Adr,Qutoutiao Inc,Common Stock,Adr,Depositary Receipt,-1
14460,Qv Equities Ltd,Closed-End Fund,Qv Equities Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
14516,Rait Financial Trust,Reit,,,Public,Preferred Stock,-1
14529,Rakuten Nikkei Leveraged Idx,Etf,Rakuten-Nikkei 225 Leveraged,Etf,Etp,Mutual Fund,-1
14584,Rattler Midstream Lp,Ltd Part,Rattler Midstream Lp,Common Stock,Ltd Part,Partnership Shares,-1
14617,Ready Capital Corp,Reit,Ready Capital Corp,Common Stock,Reit,Reit,-1
14630,Reality Shares Divs Etf,Etf,,,Etp,Mutual Fund,-1
14682,Redhill Biopharma Ltd-Sp Adr,Adr,Redhill Biopharma Ltd,Common Stock,Adr,Depositary Receipt,-1
14683,Rediff.Com India Limited-Adr,Adr,Rediff.Com India Ltd,Common Stock,Adr,Depositary Receipt,-1
14695,Redwood Trust Inc,Reit,Redwood Trust Inc,Common Stock,Reit,Reit,-1
14701,Reef Casino Trust,Unit,Reef Casino Trust,Common Stock,Unit,Unit,-1
14712,Regal Real Estate Investment,Reit,Regal Real Estate Investment Trust,Common Stock,Reit,Reit,-1
14726,Regional Health Properties,Reit,Regional Health Properties Inc,Common Stock,Common Stock,Common Stock,-1
14728,Regional Reit Ltd,Reit,Regional Reit Ltd,Common Stock,Reit,Reit,-1
14784,Renesola Ltd-Adr,Adr,Renesola Ltd,Common Stock,Adr,Depositary Receipt,-1
14788,Renewable Japan Energy Infra,Unit,Renewable Japan Energy Infrastructure Fund Inc,Common Stock,Unit,Unit,-1
14789,Renewables Infrastructure Gr,Closed-End Fund,Renewables Infrastructure Grp,Common Stock,Closed-End Fund,Mutual Fund,-1
14795,Renn Fund Inc,Closed-End Fund,Renn Fund Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
14824,Residential Secure Income Pl,Reit,Residential Secure Income Plc,Common Stock,Reit,Reit,-1
14826,Resilient Reit Ltd,Reit,Resilient Property Income Fund Ltd,Common Stock,Reit,Reit,-1
14857,Retech Technology Co Ltd,Cdi,Retech Technology Co Ltd,Common Stock,Cdi,Depositary Receipt,-1
14865,Revasum Inc-Cdi,Cdi,Revasum Inc,Common Stock,Cdi,Depositary Receipt,-1
14881,Rexford Industrial Realty In,Reit,Rexford Industrial Realty Inc,Common Stock,Reit,Reit,-1
14963,Rit Capital Partners Plc,Closed-End Fund,Rit Capital Partners,Common Stock,Closed-End Fund,Mutual Fund,-1
14973,Riverfront Dynamic Core Inco,Etf,Riverfront Dynamic Core Income Etf,Etf,Etp,Mutual Fund,-1
14977,Riverstone Energy Ltd,Closed-End Fund,Riverstone Energy Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
14987,Rlj Lodging Trust,Reit,Rlj Lodging Trust,Common Stock,Reit,Reit,-1
15060,Roots Sustainable Agricu-Cdi,Cdi,Roots Sustainable Agricultural Technologies Drc,Common Stock,Cdi,Depositary Receipt,-1
15063,Ros Agro Plc- Gdr Reg S,Gdr,Ros Agro Plc,Common Stock,Gdr,Depositary Receipt,-1
15077,Rostelecom-Sponsored Adr,Adr,Rostelekom Pao Drc,Common Stock,Adr,Depositary Receipt,-1
15095,Royal Canadian Mint Silver,Etf,Royal Canadian Mint Silver,Common Stock,Etp,Mutual Fund,-1
15112,Royce Global Value Trust,Closed-End Fund,Royce Global Value Trust Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
15113,Royce Value Trust,Closed-End Fund,Royce Value Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
15121,Rpt Realty,Reit,Rpt Realty,Common Stock,Reit,Reit,-1
15151,Ruffer Investment Company Ld,Closed-End Fund,Ruffer Investment Company Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
15160,Rural Funds Group,Reit,Rural Funds Group,Common Stock,Reit,Reit,-1
15164,Rushydro Pjsc-Adr,Adr,Rushydro Jsc Adr,Common Stock,Adr,Depositary Receipt,-1
15167,Russell Invest Aust Responsi,Etf,Russell Investments Australian Responsible Investment Etf,Etf,Etp,Mutual Fund,-1
15174,Ryanair Holdings Plc-Sp Adr,Adr,Ryanair Holdings Plc Adr,Common Stock,Adr,Depositary Receipt,-1
15181,Ryman Hospitality Properties,Reit,Ryman Hospitality Properties Inc,Common Stock,Reit,Reit,-1
15191,S Split Corp-A,Closed-End Fund,S Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
15193,Sa Corporate Real Estate Ltd,Reit,Sa Corporate Real Estate Fund Managers Ltd,Common Stock,Reit,Reit,-1
15195,Saba Closed End Funds Etf,Etf,Saba Closed-End Funds Etf,Etf,Etp,Mutual Fund,-1
15198,Sabine Royalty Trust,Royalty Trst,Sabine Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
15205,Sachem Capital Corp,Reit,,,Public,Preferred Stock,-1
15215,Safe Bulkers Inc,Preferred Stock,Safe Bulkers Inc,Common Stock,Common Stock,Common Stock,-1
15216,Safe Bulkers Inc,Preferred Stock,Safe Bulkers Inc,Common Stock,Common Stock,Common Stock,-1
15221,Safehold Inc,Reit,Safehold Inc,Common Stock,Reit,Reit,-1
15225,Safestore Holdings Plc,Reit,Safestore Holdings Plc,Common Stock,Reit,Reit,-1
15295,Samsung Kodex 200 Etf,Etf,Samsung Kodex 200 Etf,Etf,Etp,Mutual Fund,-1
15301,San Juan Basin Royalty Tr,Royalty Trst,San Juan Basin Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
15322,Sandon Capital Investments L,Closed-End Fund,Sandon Capital Investments,Common Stock,Closed-End Fund,Mutual Fund,-1
15400,Saratoga Investment Corp,Preferred Stock,Saratoga Investment Corp,Common Stock,Common Stock,Common Stock,-1
15435,Saul Centers Inc,Reit,Saul Centers Inc,Common Stock,Reit,Reit,-1
15474,Scbsm,Reit,Soc Centrale Bois Scieries Manche Sa,Common Stock,Reit,Reit,-1
15498,Schroder Asian Total Return,Closed-End Fund,Schroders Investment Trusts - Schroder Asian Total Return Investment Company Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
15499,Schroder Income Growth Fund,Closed-End Fund,Schroder Income Growth Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
15500,Schroder Japan Growth Fund,Closed-End Fund,Schroder Japan Growth Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
15507,Schwab Fundamental Small Cap,Etf,Schwab Fundamental U.S. Small Company Index Etf,Etf,Etp,Mutual Fund,-1
15533,Scottish Investment Trust,Closed-End Fund,Scottish Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
15534,Scottish Mortgage Inv Tr Plc,Closed-End Fund,Scottish Mortgage Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
15598,Secoo Holding Ltd - Adr,Adr,Secoo Holding Ltd,Common Stock,Adr,Depositary Receipt,-1
15606,Securities Trust Of Scotland,Closed-End Fund,Securities Trust Of Scotland Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
15624,Segro Plc,Reit,Segro Plc,Common Stock,Reit,Reit,-1
15681,Sentry Sel Primary Metals-A,Closed-End Fund,Sentry Select Primary Metals Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
15723,Severn Trent Pl-Spon Adr,Adr,Severn Trent Plc Pk,Common Stock,Adr,Depositary Receipt,-1
15743,Shaftesbury Plc,Reit,Shaftesbury Plc,Common Stock,Reit,Reit,-1
15818,Shell Midstream Partners Lp,Mlp,Shell Midstream Partners Lp,Common Stock,Mlp,Partnership Shares,-1
15884,Shinhan Financial Group-Adr,Adr,Shinhan Financial Group Co Ltd,Common Stock,Adr,Depositary Receipt,-1
15885,Shinkin Central Bank Class-A,Preference,Shinkin Central Bank Pref,Common Stock,Preference,Preference,-1
15897,Shires Income Plc,Closed-End Fund,Shires Income,Common Stock,Closed-End Fund,Mutual Fund,-1
15917,Shopping Centres Australasia,Reit,Shopping Centres Australasia Group,Common Stock,Reit,Reit,-1
15978,Sify Technologies-Spon Adr,Adr,Sify Technologies Limited,Common Stock,Adr,Depositary Receipt,-1
15994,Silence Therapeutics Plc,Common Stock,Silence Therapeutics Plc,Common Stock,Adr,Depositary Receipt,-1
16000,Silicon Motion Technol-Adr,Adr,Silicon Motion Technology,Common Stock,Adr,Depositary Receipt,-1
16052,Simplex Topix Bear 2X Etf,Etf,Topix Bear -2X Etf,Etf,Etp,Mutual Fund,-1
16144,Site Centers Corp,Reit,Site Centers Corp,Common Stock,Reit,Reit,-1
16163,Sk Telecom Co Ltd-Spon Adr,Adr,Sk Telecom Co Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
16211,Small Cap Us Equity Select,Etf,First Trust Small Cap Us Equity Select Etf,Etf,Etp,Mutual Fund,-1
16243,Smithson Investment Trust,Closed-End Fund,Smithson Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
16273,Sofi Gig Economy Etf,Etf,Sofi Gig Economy Etf,Etf,Etp,Mutual Fund,-1
16290,Sohu.Com Ltd-Adr,Adr,Sohu.Com Inc,Common Stock,Adr,Depositary Receipt,-1
16399,Sotherly Hotels Inc,Reit,Sotherly Hotels Inc,Common Stock,Reit,Reit,-1
16400,Sotherly Hotels Inc,Preferred Stock,Sotherly Hotels Inc,Common Stock,Reit,Reit,-1
16401,Sotherly Hotels Inc,Preferred Stock,Sotherly Hotels Inc,Common Stock,Reit,Reit,-1
16408,Source Capital Inc,Closed-End Fund,Source Capital Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
16458,Spark Networks Se-Adr,Adr,Spark Networks Se,Common Stock,Adr,Depositary Receipt,-1
16519,Spirit Realty Capital Inc,Reit,Spirit Realty Capital Inc,Common Stock,Reit,Reit,-1
16535,Sprague Resources Lp,Mlp,Sprague Resources Lp,Common Stock,Mlp,Partnership Shares,-1
16539,Spring Real Estate Investmen,Reit,Spring Reit,Common Stock,Reit,Reit,-1
16545,Sprott Focus Trust Inc,Closed-End Fund,Sprott Focus Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
16546,Sprott Physical Gold And Sil,Closed-End Fund,Sprott Physical Gold And Silver Trust,Etf,Closed-End Fund,Mutual Fund,-1
16547,Sprott Physical Gold Trust,Closed-End Fund,Sprott Physical Gold,Etf,Closed-End Fund,Mutual Fund,-1
16548,Sprott Physical Silver Trust,Closed-End Fund,Sprott Physical Silver,Etf,Closed-End Fund,Mutual Fund,-1
16592,Stag Industrial Inc,Reit,Stag Industrial Inc,Common Stock,Reit,Reit,-1
16621,Star Bulk Carriers Corp,Preferred Stock,Star Bulk Carriers Corp,Common Stock,Common Stock,Common Stock,-1
16661,Starwood Property Trust Inc,Reit,Starwood Property Trust Inc,Common Stock,Reit,Reit,-1
16670,Stealth Biotherapeutics Corp,Adr,Stealth Biotherapeutics Corp,Common Stock,Adr,Depositary Receipt,-1
16680,Steel Partners Holdings Lp,Ltd Part,Steel Partners Holdings Lp,Common Stock,Ltd Part,Partnership Shares,-1
16737,Stmicroelectronics Nv-Ny Shs,Ny Reg Shrs,Stmicroelectronics Nv Adr,Common Stock,Ny Reg Shrs,Depositary Receipt,-1
16738,Sto Se & Co. Kgaa-Pref Shrs,Preference,Sto Se & Co. Kgaa,Common Stock,Preference,Preference,-1
16742,Stockland,Reit,Stockland Corporation Ltd,Common Stock,Reit,Reit,-1
16776,Strategic Equity Capital Plc,Closed-End Fund,Strategic Equity Capital Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
16811,Structural Monitoring-Cdi,Cdi,Structural Monitoring Systems Plc,Common Stock,Cdi,Depositary Receipt,-1
16812,Structured Products Corp,Preferred Stock,Credit Enhanced Corts Trust For Aon Capital A Gic,Common Stock,Public,Preferred Stock,-1
16818,Studio City Internationa-Adr,Adr,Studio City International Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
16830,Suburban Propane Partners Lp,Mlp,Suburban Propane Partners Lp,Common Stock,Mlp,Partnership Shares,-1
16873,Summit Hotel Properties Inc,Reit,Summit Hotel Properties Inc,Common Stock,Reit,Reit,-1
16875,Summit Midstream Partners Lp,Mlp,Summit Midstream Partners Lp,Common Stock,Mlp,Partnership Shares,-1
16886,Sun Communities Inc,Reit,Sun Communities Inc,Common Stock,Reit,Reit,-1
16907,Suncorp Group Ltd,Common Stock,Suncorp Group Ltd Pref,Common Stock,Public,Preferred Stock,-1
16908,Suncorp Group Ltd,Preferred Stock,Suncorp Group Ltd Pref,Common Stock,Public,Preferred Stock,-1
16909,Suncorp Group Ltd,Preferred Stock,Suncorp Group Ltd Pref,Common Stock,Public,Preferred Stock,-1
16911,Suncorp-Metway Ltd,Bond,,,Australian,Corp,-1
16935,Sunlands Technology- Sp Adr,Adr,Sunlands Technology Group,Common Stock,Adr,Depositary Receipt,-1
16962,Sunstone Hotel Investors Inc,Reit,Sunstone Hotel Investors Inc,Common Stock,Reit,Reit,-1
17051,Swatch Group Ag/The-Unsp Adr,Adr,Swatch Group Ag Adr,Common Stock,Adr,Depositary Receipt,-1
17154,Tag Colonia-Immobilien Ag,Reit,Tag Colonia-Immobilien Ag,Common Stock,Reit,Reit,-1
17178,Taiwan Semiconductor-Sp Adr,Adr,Taiwan Semiconductor Manufacturing,Common Stock,Adr,Depositary Receipt,-1
17190,Takara Leben Real Estate Inv,Reit,Takara Leben Real Estate Investment Corp,Common Stock,Reit,Reit,-1
17238,Tanger Factory Outlet Center,Reit,Tanger Factory Outlet Centers Inc,Common Stock,Reit,Reit,-1
17256,Tarena International Inc-Adr,Adr,Tarena Intl Adr,Common Stock,Adr,Depositary Receipt,-1
17275,Tat Seng Packaging Group Ltd,Common Stock,Ishares Ta-35 Israel Etf Usd Acc,Etf,Common Stock,Common Stock,-1
17286,Tata Nifty Etf,Etf,,,Etp,Mutual Fund,-1
17292,Tatneft Pao-Sponsored Adr,Adr,Tatneft Adr,Common Stock,Adr,Depositary Receipt,-1
17323,Tdb Split Corp-Class A,Closed-End Fund,Tdb Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
17354,Technology Select Sect Spdr,Etf,Technology Select Sector Spdr® Fund,Etf,Etp,Mutual Fund,-1
17384,Tekla Healthcare Investors,Closed-End Fund,Tekla Healthcare Investors,Common Stock,Closed-End Fund,Mutual Fund,-1
17385,Tekla Life Sciences Investor,Closed-End Fund,Tekla Life Sciences Investors,Common Stock,Closed-End Fund,Mutual Fund,-1
17392,Telecom Argentina Sa-Sp Adr,Adr,Telecom Argentina Sa Adr,Common Stock,Adr,Depositary Receipt,-1
17402,Telefonica Sa-Spon Adr,Adr,Telefonica Sa Adr,Common Stock,Adr,Depositary Receipt,-1
