,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
8248,Hgcapital Trust Plc,Closed-End Fund,Hgcapital Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
8256,Hicl Infrastructure Plc,Closed-End Fund,Hicl Infrastructure Company Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
8270,High Yield Etf,Etf,High Yield Etf,Etf,Etp,Mutual Fund,-1
8274,Highcroft Investments Plc,Reit,Highcroft Investments Plc Reit,Common Stock,Reit,Reit,-1
8286,Highwoods Properties Inc,Reit,Highwoods Properties Inc,Common Stock,Reit,Reit,-1
8309,Himax Technologies Inc-Adr,Adr,Himax Technologies Inc,Common Stock,Adr,Depositary Receipt,-1
8357,Hk Electric Investments -Ss,Stapled Security,Hk Electric Investments Ltd,Common Stock,Stapled Security,Unit,-1
8369,Hms Group Plc - Gdr Reg S,Gdr,Hms Hydraulic Machines & Systems Group Plc Drc,Common Stock,Gdr,Depositary Receipt,-1
8407,Holly Energy Partners Lp,Mlp,Holly Energy Partners Lp,Common Stock,Mlp,Partnership Shares,-1
8441,Hon Hai Precision-Gdr Reg S,Gdr,Hon Hai Precision Industry Co Ltd Adr,Common Stock,Gdr,Depositary Receipt,-1
8490,Horizon Group Properties Inc,Reit,Horizon Group Properties Inc,Common Stock,Reit,Reit,-1
8508,Hoshino Resorts Reit Inc,Reit,Hoshino Resorts Reit Inc,Common Stock,Reit,Reit,-1
8522,Hotel Property Investments,Reit,Hotel Property Investments Ltd,Common Stock,Reit,Reit,-1
8600,Hudson Pacific Properties In,Reit,Hudson Pacific Properties Inc,Common Stock,Reit,Reit,-1
8609,Hugoton Royalty Trust,Royalty Trst,Hugoton Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
8616,Hull Tactical Us Etf,Etf,Hull Tactical Us Etf,Etf,Etp,Mutual Fund,-1
8646,Hutchison China Meditech-Adr,Adr,Hutchmed  Drc,Common Stock,Adr,Depositary Receipt,-1
8647,Hutchison Port Holdings Tr-U,Unit,Hutchison Port Holdings Trust,Common Stock,Unit,Unit,-1
8652,Huya Inc-Adr,Adr,Huya Inc,Common Stock,Adr,Depositary Receipt,-1
8680,Hyprop Investments Ltd,Reit,Hyprop,Common Stock,Reit,Reit,-1
8684,Hyundai Motor Co-Reg S Gdr,Gdr,Hyundai Motor Co Drc,Common Stock,Gdr,Depositary Receipt,-1
8693,Iberiabank Corp,Common Stock,,,Public,Preferred Stock,-1
8701,Icade,Reit,Icade,Common Stock,Reit,Reit,-1
8702,Icahn Enterprises Lp,Mlp,Icahn Enterprises Lp,Common Stock,Mlp,Partnership Shares,-1
8711,Icg Enterprise Trust Plc,Closed-End Fund,Icg Enterprise Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
8713,Ichigo Hotel Reit Investment,Reit,Ichigo Hotel Reit Investment Corp,Common Stock,Reit,Reit,-1
8715,Ichigo Office Reit Investmen,Reit,Ichigo Office Reit Investment Corp,Common Stock,Reit,Reit,-1
8719,Icici Bank Ltd-Spon Adr,Adr,Icici Bank Limited Adr,Common Stock,Adr,Depositary Receipt,-1
8774,Iex Group Nv,Dutch Cert,Iex Group Nv,Common Stock,Common Stock,Common Stock,-1
8860,Impact Healthcare Reit Plc,Reit,Impact Healthcare Reit Plc,Common Stock,Reit,Reit,-1
8862,Impact Shares Naacp Minority,Etf,Impact Shares Naacp Minority Empowerment Etf,Etf,Etp,Mutual Fund,-1
8866,Impax Environmental Markets,Closed-End Fund,Impax Environmental Markets Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
8904,Income & Growth Vct Plc,Closed-End Fund,The Income & Growth Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
8912,Independence Realty Trust In,Reit,Independence Realty Trust Inc,Common Stock,Reit,Reit,-1
8914,Indexiq Fact Sust Corp Euro,Etf,Indexiq Factors Sustainable Corporate Euro Bond Ucits Etf Dis,Etf,Etp,Mutual Fund,-1
8919,India Grid Trust,Unit,India Grid Trust,Common Stock,Unit,Unit,-1
8963,Industrial & Infrastructure,Reit,Industrial & Infrastructure Fund Investment Corp,Common Stock,Reit,Reit,-1
9000,Infosys Ltd-Sp Adr,Adr,Infosys Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
9004,Infrastructure India Plc,Closed-End Fund,Infrastructure India Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
9013,Ingenia Communities Group,Reit,Ingenia Communities Group,Common Stock,Reit,Reit,-1
9135,Intercontinental Hotels Grou,Common Stock,Intercontinental Hotels Group Plc Adr,Common Stock,Adr,Depositary Receipt,-1
9159,International Biotechnology,Closed-End Fund,International Biotechnology Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
9191,International Public Partner,Closed-End Fund,International Public Partnership,Common Stock,Closed-End Fund,Mutual Fund,-1
9220,Intervest Offices & Warehouses,Reit,Intervest Offices - Ware,Common Stock,Reit,Reit,-1
9257,Invesco Asia Trust Plc-Ord,Closed-End Fund,Invesco Asia Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9259,Invesco China Technology Etf,Etf,Invesco China Technology Etf,Etf,Etp,Mutual Fund,-1
9260,Invesco Currencyshares Euro,Etf,Invesco Currencyshares® Euro Currency Trust,Etf,Etp,Mutual Fund,-1
9261,Invesco Db Agriculture Fund,Etf,Invesco Db Agriculture Fund,Etf,Etp,Mutual Fund,-1
