,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
11557,MFS SPECIAL VALUE TRUST,CLOSED-END FUND,MFS Special Value Trust,Common Stock,Closed-End Fund,Mutual Fund
11558,MG INTERNATIONAL,COMMON,Mg Internation,Common Stock,Common Stock,Common Stock
11559,MG UNIT TRUST,UNIT,,,,
11560,MGC PHARMACEUTICALS LTD,COMMON,MGC Pharmaceuticals Ltd,Common Stock,Common Stock,Common Stock
11561,MGE ENERGY INC,COMMON,MGE Energy Inc,Common Stock,Common Stock,Common Stock
11562,MGIC INVESTMENT CORP,COMMON,MGIC Investment Corp,Common Stock,Common Stock,Common Stock
11563,MGM CHINA HOLDINGS LTD,COMMON,MGM China Holdings Ltd,Common Stock,Common Stock,Common Stock
11564,MGM GROWTH PROPERTIES LLC-A,REIT,,,REIT,REIT
11565,MGM RESORTS INTERNATIONAL,,MGM Resorts International,Common Stock,Common Stock,Common Stock
11566,MGP INGREDIENTS INC,COMMON,MGP Ingredients Inc,Common Stock,Common Stock,Common Stock
11567,MGT CAPITAL INVESTMENTS INC,COMMON,MGT Capital Investments Inc,Common Stock,Common Stock,Common Stock
11568,MGX MINERALS INC,COMMON,,,Common Stock,Common Stock
11569,MHP SE,GDR,,,GDR,Depositary Receipt
11570,MI MING MART HOLDINGS LTD,COMMON,Mi Ming Mart Holdings,Common Stock,Common Stock,Common Stock
11571,MIC ELECTRONICS LIMITED,COMMON,,,,
11572,MICHAEL HILL INTERNATIONAL L,COMMON,Michael Hill International Ltd,Common Stock,Common Stock,Common Stock
11573,MICHAEL JAMES ENTERPRISES IN,COMMON,,,Common Stock,Common Stock
11574,MICHAELS COS INC/THE,COMMON,,,Common Stock,Common Stock
11575,MICHELIN (CGDE),COMMON,Compagnie Generale des Etablissements Michelin SCA,Common Stock,Common Stock,Common Stock
11576,MICHELMERSH BRICK HOLDINGS P,COMMON,Michelmersh Brick Holdings Plc,Common Stock,Common Stock,Common Stock
11577,MICHIGAN COMMUNITY BANCORP,COMMON,Michigan Community Bancorp Ltd,Common Stock,Common Stock,Common Stock
11578,MICHINOKU BANK LTD/THE,COMMON,,,Common Stock,Common Stock
11579,MICREX DEVELOPMENT CORP.,COMMON,,,,
11580,MICROBIX BIOSYSTEMS INC,COMMON,Microbix Biosystems Inc.,Common Stock,Common Stock,Common Stock
11581,MICROBOT MEDICAL INC,COMMON,Microbot Medical Inc,Common Stock,Common Stock,Common Stock
11582,MICROCHIP TECHNOLOGY INC,,Microchip Technology Inc,Common Stock,Common Stock,Common Stock
11583,MICROELECTRONICS TECHNOLOGY,COMMON,,,,
11584,MICROFINANCIAL INC,COMMON,,,,
11585,MICROLOGICA AG,COMMON,,,,
11586,MICROMEDIC TECHNOLOGIES LTD,COMMON,,,,
11587,MICROMEM TECHNOLOGIES INC,COMMON,Micromem Technologies Inc,Common Stock,Common Stock,Common Stock
