ISIN,Name_197,longName-FIGI,fuzz_socre1,check-FIGI
AU000000AIO7,ASCIANO LIMITED,PACIFIC NATIONAL HOLDINGS,20,0
MX1RAX050007,BANCO NACIONAL DE MEXICO S.A,AXISCK - 12,22,0
GG00B4QYTJ50,BLOCK COMMODITIES LTD,AFRICAN POTASH LTD,26,0
AU000000D132,DELAWARE THIRTEEN LTD,DEPARTMENT 13 INTERNATIONAL,42,0
US25746U8696,DOMINION RES INC VA NEW 2014 SER A,DOMINION ENERGY INC,45,1
DE0005152409,DWS NEW MARKETS TYP O,DWS GERMAN SMALL/MID CAP,31,1
US45822P2048,INTEGRYS ENERGY GROUP,INTEGRYS HOLDING INC,59,1
US21988G8583,LEHMAN ABS CORPORATION,CORP-BACKED TRUST CERTS,40,0
BMG5698C1029,LUIRI GOLD LTD,IMRITEC LTD,32,0
RU000A0JPV70,MECHEL PJSC-SPONSORED ADR,MECHEL-PREF,56,1
US7404348739,MERRILL LYNCH DEPOSITOR INC,PREFERREDPLUS TRST QWS-1,20,0
US73941X5288,ML DEPOSITOR PPLUS TRUST 7.10% EMBARQ CORP. CTF EQ-1,PREFERREDPLUS TRUST,38,0
US63938C3060,NAVIENT CORP MEDIUM TERM NOTES 01/16/18 SER A,NAVIENT CORP,42,1
US05368M2052,PEREGRINE PHARMACEUTICALS INC,AVID BIOSERVICES INC,12,0
US74838C1062,QUIKSILVER INC,BOARDRIDERS INC,21,0
US7472623013,QVC INC 6 3/8 09/13/67 PFD,QVC INC,42,1
SE0010520155,ROLLING OPTICS HOLDING AB,ICTA AB,31,0
US7847882005,"SYNTHETIC FIXED-INCOME SEC STRATS 2004-2, 6.50% SPRINT CAPIT",STRATS-FON-04-2,36,1
MHY8564M1057,TEEKAY LNG PARTNERS LP,SEAPEAK LLC,30,0
