country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,fuzz_socre1,fuzz_socre2
mexico,Activision Blizzard,Activision Blizzard Inc,MXN,ATVI,equity,US00507V1098,ACTIVISION BLIZZARD INC,100,90
united states,Acuity Brands,Acuity Brands Inc,USD,AYI,equity,US00508Y1029,ACUITY BRANDS INC,100,87
united states,Acura Pharma,Acura Pharmaceuticals Inc,USD,ACUR,equity,US00509L8028,ACURA PHARMACEUTICALS INC,100,65
australia,Adairs Ltd,Adairs Ltd,AUD,ADH,equity,AU000000ADH2,ADAIRS LTD,100,100
united states,Adamas Pharmaceuticals Inc,Adamas Pharma,USD,ADMS,equity,US00548A1060,ADAMAS PHARMACEUTICALS INC,67,100
united states,Adaptimmune Therapeutics,Adaptimmune Therapeutics Plc,USD,ADAP,equity,US00653A1079,ADAPTIMMUNE THERAPEUTICS-ADR,89,92
austria,Addiko Bank,Addiko Bank AG,EUR,ADKO,equity,AT000ADDIKO0,ADDIKO BANK AG,100,88
japan,Adeka Corp,Adeka Corp,JPY,4401,equity,JP3114800000,ADEKA CORP,100,100
united states,Adesto Technologies Corp,Adesto Technologies Corp,USD,IOTS,equity,US00687D1019,ADESTO TECHNOLOGIES CORP,100,100
canada,Adex Mining Inc,Adex Mining Inc,CAD,ADE,equity,CA0069032070,ADEX MINING INC,100,100
canada,ADF Group Inc.,ADF Group Inc.,CAD,DRX,equity,CA00089N1033,ADF GROUP INC,100,100
mexico,Adidas,adidas AG,MXN,ADSN,equity,DE000A1EWWW0,ADIDAS AG,100,80
united states,Adient,Adient PLC,USD,ADNT,equity,IE00BD845X29,ADIENT PLC,100,75
austria,ADO Properties SARL,ADO Properties SA,EUR,ADJ,equity,LU1250154413,ADO PROPERTIES SA,100,94
united states,Adtalem Education,Adtalem Global Education Inc,USD,ATGE,equity,US00737L1035,ADTALEM GLOBAL EDUCATION INC,100,76
japan,Adtec Plasma Tech,Adtec Plasma Technology Co Ltd,JPY,6668,equity,JP3122010006,ADTEC PLASMA TECHNOLOGY CO,93,79
united states,ADTRAN,ADTRAN Inc,USD,ADTN,equity,US00738A1060,ADTRAN INC,100,75
,ADTRAN Inc,,,ADTN,,US00486H1059,ADTRAN INC,31,100
united states,Aduro Biotech Inc,Aduro Biotech Inc,USD,ADRO,equity,US00739L1017,ADURO BIOTECH INC,100,100
switzerland,Adval Tech Holding AG,Adval Tech Holding AG,CHF,ADVN,equity,CH0008967926,ADVAL TECH HOLDING AG-REG,91,91
united states,Advance Auto Parts,Advance Auto Parts Inc,USD,AAP,equity,US00751Y1064,ADVANCE AUTO PARTS INC,100,90
japan,Advanced Media,Advanced Media Inc,JPY,3773,equity,JP3122150000,ADVANCED MEDIA INC,100,88
mexico,AMD,Advanced Micro Devices Inc,MXN,AMD,equity,US0079031078,ADVANCED MICRO DEVICES,92,16
japan,Advanex Inc,Advanex Inc,JPY,5998,equity,JP3213400009,ADVANEX INC,100,100
united states,AdvanSix,AdvanSix Inc,USD,ASIX,equity,US00773T1016,ADVANSIX INC,100,80
japan,Advantage Risk Management,Advantage Risk Management Co Ltd,JPY,8769,equity,JP3122410008,ADVANTAGE RISK MANAGEMENT CO,93,94
japan,Advantest Corp.,Advantest Corp.,JPY,6857,equity,JP3122400009,ADVANTEST CORP,100,100
japan,Adventure,Adventure Inc,JPY,6030,equity,JP3122380003,ADVENTURE INC,100,82
united states,Adverum Biotechn,Adverum Biotechnologies Inc,USD,ADVM,equity,US00773U1088,ADVERUM BIOTECHNOLOGIES INC,100,74
france,Advicenne,Advicenne,EUR,ADVIC,equity,FR0013296746,ADVICENNE,100,100
united states,AdvisorShares New Tech and Media,AdvisorShares New Tech and Media,USD,FNG,equity,US00768Y5520,ADVSRSHRS NEW TECH AND MEDIA,93,93
japan,Adways,Adways Inc,JPY,2489,equity,JP3121970002,ADWAYS INC,100,75
united states,Aegion,Aegion Corp,USD,AEGN,equity,US00770F1049,AEGION CORP,100,71
united states,Aemetis Inc,Aemetis Inc,USD,AMTX,equity,US00770K2024,AEMETIS INC,100,100
china,Aeolus Tyre,Aeolus Tyre Co Ltd,CNY,600469,equity,CNE000001G46,AEOLUS TYRE CO LTD-A,95,71
japan,Aeon Financial Service Co Ltd,Aeon Financial Service Co Ltd,JPY,8570,equity,JP3131400008,AEON FINANCIAL SERVICE CO LT,98,98
united states,Aeon Global,Aeon Global Health Corp,USD,AGHC,equity,US00774U1079,AEON GLOBAL HEALTH CORP,100,65
japan,Aeon Mall Co Ltd,Aeon Mall Co Ltd,JPY,8905,equity,JP3131430005,AEON MALL CO LTD,100,100
australia,Aeon Metals Ltd,Aeon Metals Ltd,AUD,AML,equity,AU000000AML5,AEON METALS LTD,100,100
united states,AerCap Holdings NV,AerCap Holdings NV,USD,AER,equity,NL0000687663,AERCAP HOLDINGS NV,100,100
australia,Aeris Environmental Ltd,Aeris Environmental Ltd,AUD,AEI,equity,AU000000AEI8,AERIS ENVIRONMENTAL LTD,100,100
