Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
1ST,Australia,AUD,AU,AU0000001ST0,1stAvailable Ltd,Common Stock,0.008,2022-07-21
MMM,USA,USD,US,US88579Y1010,3M Company,Common Stock,133.95,2022-07-21
88E,UK,GBX,LSE,AU00000088E2,88 Energy Ltd,Common Stock,0.725,2022-07-21
7063,Japan,JPY,TSE,JP3160590000,A Dot Co Ltd,Common Stock,2136.0,2022-07-21
AMRK,Israel,ILA,TA,IL0010922040,Amir Marketing and Investments in Agriculture Ltd,Common Stock,3911.0,2022-07-21
5GZ,Singapore,SGD,SG,SG1S12926576,HGH Holdings Ltd,Common Stock,0.012,2022-07-20
2686,Hong Kong,HKD,HK,KYG000371040,AAG Energy Holdings Ltd,Common Stock,1.43,2022-07-21
AAON,USA,USD,US,US0003602069,AAON Inc,Common Stock,57.63,2022-07-21
AARON,India,INR,NSE,INE721Z01010,Aaron Industries Limited,Common Stock,121.3,2022-07-21
AARTIDRUGS,India,INR,NSE,INE767A01016,Aarti Drugs Limited,Common Stock,439.55,2022-07-21
AARTIIND,India,INR,NSE,INE769A01020,Aarti Industries Limited,Common Stock,777.5,2022-07-21
AAVAS,India,INR,NSE,INE216P01012,Aavas Financiers Limited,Common Stock,2256.35,2022-07-21
ABDP,UK,GBX,LSE,GB00B9GQVG73,Ab Dynamics,Common Stock,1150.0,2022-07-21
ABP,Australia,AUD,AU,AU000000ABP9,Abacus Property Group,Common Stock,2.81,2022-07-21
ABAN,India,INR,NSE,INE421A01028,Aban Offshore Limited,Common Stock,45.7,2022-07-21
ABB,India,INR,NSE,INE117A01022,ABB India Limited,Common Stock,2772.75,2022-07-21
ABB,India,INR,NSE,INE117A01022,ABB India Limited,Common Stock,2772.75,2022-07-21
ABA,Germany,EUR,F,DE0006209901,ALBA SE,Common Stock,26.4,2022-07-20
ABA,Australia,AUD,AU,AU000000ABA1,Auswide Bank Ltd,Common Stock,6.65,2022-07-21
ABBOTINDIA,India,INR,NSE,INE358A01014,Abbott India Limited,Common Stock,20117.65,2022-07-21
ABT,USA,USD,US,US0028241000,Abbott Laboratories,Common Stock,110.69,2022-07-21
ABBV,USA,USD,US,US00287Y1091,AbbVie Inc,Common Stock,147.75,2022-07-21
2670,Japan,JPY,TSE,JP3152740001,ABC-Mart Inc,Common Stock,5840.0,2022-07-21
ANF,USA,USD,US,US0028962076,Abercrombie & Fitch Company,Common Stock,18.67,2022-07-21
AAIF,UK,GBX,LSE,GB00B0P6J834,abrdn Asian Income Fund Limited,Common Stock,215.0,2022-07-21
AJIT,UK,GBX,LSE,GB0003920757,abrdn Japan Investment Trust PLC,Common Stock,567.5,2022-07-21
ANW,Australia,AUD,AU,AU000000ANW0,Aus Tin Mining Ltd,Common Stock,0.001,2022-07-21
ASL,UK,GBX,LSE,GB0000066554,Aberforth Smaller Companies Trust PLC,Common Stock,1230.0,2022-07-21
ABILF,USA,USD,US,KYG8789K1242,Ability Inc,Common Stock,0.2,2022-07-21
ABMD,USA,USD,US,US0036541003,ABIOMED Inc,Common Stock,284.81,2022-07-21
ABN,Netherlands,EUR,AS,NL0011540547,ABN Amro Group NV,Common Stock,9.676,2022-07-21
ABO,Belgium,EUR,BR,BE0974278104,ABO Group,Common Stock,5.15,2022-07-21
533,Singapore,SGD,SG,SG0533000253,ABR Holdings Limited,Common Stock,0.465,2022-07-20
AXAS,USA,USD,US,US0038303048,Abraxas Petroleum Corporation,Common Stock,1.6680000000000001,2022-07-21
ABG,South Africa,ZAC,JSE,ZAE000255915,Absa Group Ltd,Common Stock,16910.0,2022-07-21
ABSO,Sweden,SEK,ST,SE0006256558,Absolent Group AB,Common Stock,390.0,2022-07-21
541,Singapore,SGD,SG,SG1I02877971,Abundance International Limited,Common Stock,0.027,2022-07-21
ACTG,USA,USD,US,US0038813079,Acacia Research Corporation,Common Stock,4.8100000000000005,2022-07-21
AKG,Australia,AUD,AU,AU000000AKG9,Academies Australasia Group,Common Stock,0.28500000000000003,2022-07-21
ACHC,USA,USD,US,US00404A1097,Acadia Healthcare Company Inc,Common Stock,75.36,2022-07-21
ACAD,USA,USD,US,US0042251084,ACADIA Pharmaceuticals Inc,Common Stock,14.98,2022-07-21
ADN,Canada,CAD,TO,CA0042721005,Acadian Timber Corp,Common Stock,16.64,2022-07-21
ADN,Australia,AUD,AU,AU000000ADN0,Andromeda Metals Ltd,Common Stock,0.093,2022-07-21
ACCEL,Netherlands,EUR,AS,NL0009767532,Accell Group NV,Common Stock,57.45,2022-07-21
ACCELYA,India,INR,NSE,INE793A01012,Accelya Solutions India Limited,Common Stock,937.5,2022-07-21
AX1,Australia,AUD,AU,AU000000AX19,Accent Group Ltd,Common Stock,1.5150000000000001,2022-07-21
ACN,USA,USD,US,IE00B4BNMY34,Accenture plc,Common Stock,288.01,2022-07-21
4813,Japan,JPY,TSE,JP3108060009,Access Co Ltd,Common Stock,821.0,2022-07-21
7042,Japan,JPY,TSE,JP3108190004,Access Group Holdings Co Ltd,Common Stock,827.0,2022-07-21
ACSO,UK,GBX,LSE,GB0001771426,Accesso Technology Group PLC,Common Stock,610.0,2022-07-21
ACE,India,INR,NSE,INE731H01025,Action Construction Equipment Limited,Common Stock,227.1,2022-07-21
ANA,Spain,EUR,MC,ES0125220311,Acciona,Common Stock,180.6,2022-07-21
AC,France,EUR,PA,FR0000120404,Accor S. A.,Common Stock,27.78,2022-07-21
4395,Japan,JPY,TSE,JP3108180005,Accrete Inc,Common Stock,1853.0,2022-07-21
ACRL,UK,GBX,LSE,GB00BZ6VT592,Accrol Group Holdings PLC,Common Stock,25.9,2022-07-21
AXS,UK,GBX,LSE,GB00BQQFX454,Accsys Technologies PLC,Common Stock,102.0,2022-07-21
AXS,USA,USD,US,BMG0692U1099,AXIS Capital Holdings Ltd,Common Stock,54.0,2022-07-21
ACCURACY,India,INR,NSE,INE648Z01015,Accuracy Shipping Limited,Common Stock,203.4,2022-07-21
ARAY,USA,USD,US,US0043971052,Accuray Incorporated,Common Stock,2.23,2022-07-21
ACW,Australia,AUD,AU,AU000000ACW3,Actinogen Medical Ltd,Common Stock,0.063,2022-07-21
ACRX,USA,USD,US,US00444T1007,AcelRx Pharmaceuticals Inc,Common Stock,0.25,2022-07-21
5142,Japan,JPY,TSE,JP3108000005,Achilles Corp,Common Stock,1405.0,2022-07-21
ADA,Australia,AUD,AU,AU000000ADA7,Adacel Tech Ltd,Common Stock,0.84,2022-07-21
ADA,UK,GBX,LSE,IM00B986V543,Adams Plc,Common Stock,6.0,2022-07-21
ACIW,USA,USD,US,US0044981019,ACI Worldwide Inc,Common Stock,27.45,2022-07-21
ACKB,Belgium,EUR,BR,BE0003764785,Ackermans & Van Haaren NV,Common Stock,138.0,2022-07-21
6888,Japan,JPY,TSE,JP3108100003,Acmos Inc,Common Stock,357.0,2022-07-21
ACNB,USA,USD,US,US0008681092,ACNB Corporation,Common Stock,31.86,2022-07-21
8572,Japan,JPY,TSE,JP3108600002,Acom Co Ltd,Common Stock,335.0,2022-07-21
ACOR,USA,USD,US,US00484M6012,Acorda Therapeutics Inc,Common Stock,0.4727,2022-07-21
ACQ,Australia,AUD,AU,AU000000ACQ5,Acorn Capital Invest Fund,Common Stock,1.115,2022-07-21
ACQ,Canada,CAD,TO,CA05277B2093,Autocanada Inc,Common Stock,25.99,2022-07-21
ACFN,USA,USD,US,US0048481073,Acorn Energy Inc,Common Stock,0.55,2022-07-21
3823,Japan,JPY,TSE,JP3108120001,Why How Do Co Inc,Common Stock,156.0,2022-07-21
ACF,Australia,AUD,AU,AU0000006124,Acrow Formwork and Construction Services Ltd,Common Stock,0.495,2022-07-21
ACT,UK,GBX,LSE,GB00BJ05QC14,Actual Experience plc,Common Stock,3.0,2022-07-21
ATIC,Sweden,SEK,ST,SE0009269467,Actic Group AB,Common Stock,9.1,2022-07-21
3279,Japan,JPY,TSE,JP3047490002,Activia Properties Inc,Common Stock,412000.0,2022-07-21
ATVI,USA,USD,US,US00507V1098,Activision Blizzard Inc,Common Stock,79.49,2022-07-21
ACUR,USA,USD,US,US00509L8028,Acura Pharmaceuticals Inc,Common Stock,0.25220000000000004,2022-07-21
ADH,Australia,AUD,AU,AU000000ADH2,Adairs Ltd,Common Stock,2.47,2022-07-21
ADH,South Africa,ZAC,JSE,ZAE000031035,Advtech,Common Stock,1698.0,2022-07-21
1AD,Australia,AUD,AU,AU0000001AD2,Adalta Ltd,Common Stock,0.048,2022-07-21
553,China,CNY,SHE,CNE0000004V0,ADAMA Ltd,Common Stock,11.27,2022-07-21
PEO,Poland,PLN,WAR,PLPEKAO00016,Bank Polska Kasa Opieki SA,Common Stock,77.0,2022-07-21
ADANIENT,India,INR,NSE,INE423A01024,Adani Enterprises Limited,Common Stock,2495.0,2022-07-21
ADANIGREEN,India,INR,NSE,INE364U01010,Adani Green Energy Limited,Common Stock,2109.75,2022-07-21
ADANIPORTS,India,INR,NSE,INE742F01042,Adani Ports and Special Economic Zone Limited,Common Stock,754.25,2022-07-21
ADANIPOWER,India,INR,NSE,INE814H01011,Adani Power Limited,Common Stock,294.0,2022-07-21
ADANITRANS,India,INR,NSE,INE931S01010,Adani Transmission Limited,Common Stock,3043.75,2022-07-21
2685,Japan,JPY,TSE,JP3856000009,Adastria Holdings Co Ltd,Common Stock,2021.0,2022-07-21
ADXN,Switzerland,CHF,SW,CH0029850754,Addex Therapeutics Ltd,Common Stock,0.309,2022-07-21
APE,Australia,AUD,AU,AU000000APE3,AP Eagers Ltd,Common Stock,12.53,2022-07-21
ADKO,Austria,EUR,VI,AT000ADDIKO0,Addiko Bank AG,Common Stock,10.2,2022-07-21
547,China,CNY,SHE,CNE000000DM5,Addsino Co Ltd,Common Stock,11.32,2022-07-21
ADUS,USA,USD,US,US0067391062,Addus HomeCare Corporation,Common Stock,95.23,2022-07-21
A31,Singapore,SGD,SG,SG1I67883666,Addvalue Technologies Ltd,Common Stock,0.015,2022-07-21
ADEN,Switzerland,CHF,SW,CH0012138605,Adecco Group AG Class N,Common Stock,33.85,2022-07-21
4401,Japan,JPY,TSE,JP3114800000,Adeka Corp,Common Stock,2416.0,2022-07-21
ADES,USA,USD,US,US00770C1018,Advanced Emissions Solutions Inc,Common Stock,4.72,2022-07-21
ADE,Canada,CAD,V,CA0069032070,Adex Mining Inc,Common Stock,0.01,2022-07-20
ADFFOODS,India,INR,NSE,INE982B01019,ADF Foods Limited,Common Stock,706.85,2022-07-21
DRX,Australia,AUD,AU,AU000000DRX3,Diatreme Resources Ltd,Common Stock,0.04,2022-07-21
DRX,UK,GBX,LSE,GB00B1VNSX38,Drax Group,Common Stock,743.5,2022-07-21
ADR,Australia,AUD,AU,AU000000ADR1,Adherium Ltd,Common Stock,0.01,2022-07-21
ADS,Germany,EUR,XETRA,DE000A1EWWW0,adidas AG,Common Stock,175.08,2022-07-21
ABCAPITAL,India,INR,NSE,INE674K01013,Aditya Birla Capital Limited,Common Stock,100.0,2022-07-21
BIRLAMONEY,India,INR,NSE,INE865C01022,Aditya Birla Money Limited,Common Stock,57.55,2022-07-21
ADJ,Germany,EUR,XETRA,LU1250154413,Adler Group SA,Common Stock,3.75,2022-07-21
ADBE,USA,USD,US,US00724F1012,Adobe Systems Incorporated,Common Stock,408.91,2022-07-21
ADORWELD,India,INR,NSE,INE045A01017,Ador Welding Limited,Common Stock,780.25,2022-07-21
ADP,France,EUR,PA,FR0010340141,Aeroports de Paris SA,Common Stock,124.4,2022-07-21
ADROITINFO,India,INR,NSE,INE737B01033,Adroit Infotech Limited,Common Stock,17.05,2022-07-21
ATGE,USA,USD,US,US00737L1035,Adtalem Global Education Inc,Common Stock,39.08,2022-07-21
6668,Japan,JPY,TSE,JP3122010006,Adtec Plasma Technology Co Ltd,Common Stock,1890.0,2022-07-21
QH9,Germany,EUR,MU,US00486H1059,ADTRAN Holdings Inc.,Common Stock,22.66,2022-07-21
ADVN,Switzerland,CHF,SW,CH0008967926,Adval Tech Holding AG,Common Stock,143.0,2022-07-20
3773,Japan,JPY,TSE,JP3122150000,Advanced Media Inc,Common Stock,787.0,2022-07-21
AMD,USA,USD,US,US0079031078,Advanced Micro Devices Inc,Common Stock,91.09,2022-07-21
5998,Japan,JPY,TSE,JP3213400009,Advanex Inc,Common Stock,1080.0,2022-07-21
ADVANIHOTR,India,INR,NSE,INE199C01026,Advani Hotels & Resorts (India) Limited,Common Stock,76.15,2022-07-21
8769,Japan,JPY,TSE,JP3122410008,Advantage Risk Management Co Ltd,Common Stock,523.0,2022-07-21
6857,Japan,JPY,TSE,JP3122400009,Advantest Corp.,Common Stock,7480.0,2022-07-21
6030,Japan,JPY,TSE,JP3122380003,Adventure Inc,Common Stock,7990.0,2022-07-21
6030,Hong Kong,HKD,HK,CNE1000016V2,CITIC Securities Co Ltd,Common Stock,16.12,2022-07-21
ALDVI,France,EUR,PA,FR0013296746,Advicenne,Common Stock,5.58,2022-07-21
FNG,Germany,EUR,F,DE0005070908,Fritz Nols AG,Common Stock,0.055,2022-07-21
2489,Japan,JPY,TSE,JP3121970002,Adways Inc,Common Stock,713.0,2022-07-21
ADX,Australia,AUD,AU,AU000000ADX9,Adx Energy Ltd,Common Stock,0.008,2022-07-21
738,China,CNY,SHE,CNE000000RM5,Aecc Aero Engine Control Co Ltd,Common Stock,28.4,2022-07-21
AEGISCHEM,India,INR,NSE,INE208C01025,Aegis Logistics Limited,Common Stock,244.65,2022-07-21
AWX,Singapore,SGD,SG,SG1BA1000003,AEM Holdings Ltd,Common Stock,4.07,2022-07-21
600469,China,CNY,SHG,CNE000001G46,Aeolus Tyre Co Ltd,Common Stock,4.8,2022-07-21
8570,Japan,JPY,TSE,JP3131400008,Aeon Financial Service Co Ltd,Common Stock,1384.0,2022-07-21
AGHC,USA,USD,US,US00774U1079,Aeon Global Health Corp,Common Stock,0.0001,2022-07-20
8905,Japan,JPY,TSE,JP3131430005,Aeon Mall Co Ltd,Common Stock,1673.0,2022-07-21
AML,Australia,AUD,AU,AU000000AML5,Aeon Metals Ltd,Common Stock,0.028,2022-07-21
AML,UK,GBX,LSE,GB00BN7CG237,Aston Martin Lagonda Global Holdings PLC,Common Stock,529.6,2022-07-21
AER,USA,USD,US,NL0000687663,AerCap Holdings NV,Common Stock,44.11,2022-07-21
AEI,Australia,AUD,AU,AU000000AEI8,Aeris Environmental Ltd,Common Stock,0.057,2022-07-21
AFLT,Russia,RUB,MCX,RU0009062285,Aeroflot,Common Stock,27.58,2022-07-21
901,China,CNY,SHE,CNE000000Y86,Aerospace Hi-Tech Holding Group Co Ltd,Common Stock,9.5,2022-07-21
600501,China,CNY,SHG,CNE000001857,Aerosun Corp,Common Stock,11.4,2022-07-21
AVAV,USA,USD,US,US0080731088,AeroVironment Inc,Common Stock,82.92,2022-07-21
AES,USA,USD,US,US00130H1059,The AES Corporation,Common Stock,19.91,2022-07-21
AEZS,USA,USD,US,CA0079754028,Aeterna Zentaris Inc,Common Stock,4.34,2022-07-21
HE8,Australia,AUD,AU,AU000000HE80,Helios Energy Ltd,Common Stock,0.067,2022-07-21
AEVS,Switzerland,CHF,SW,CH0478634105,Aevis Victoria SA,Common Stock,18.95,2022-07-21
L38,Singapore,SGD,SG,SG1C01001033,AF Global Limited,Common Stock,0.096,2022-07-21
AFAGR,Finland,EUR,HE,FI0009800098,Afarak Group Oyj,Common Stock,0.35000000000000003,2022-07-21
AFC,UK,GBX,LSE,GB0030895238,AFC Energy plc,Common Stock,23.78,2022-07-21
AFHL,Israel,ILA,TA,IL0005780130,Afcon Holdings Ltd,Common Stock,15170.0,2022-07-21
AFF,Canada,CAD,V,CA00827Y1060,Affinity Metals Corp,Common Stock,0.05,2022-07-20
AFI,Australia,AUD,AU,AU000000AFI5,Australian Foundation Investment Company Ltd,Common Stock,8.08,2022-07-21
AFL,USA,USD,US,US0010551028,Aflac Inc,Common Stock,55.03,2022-07-21
AFRE,Israel,ILA,TA,IL0010979487,Africa Israel Residences Ltd,Common Stock,18680.0,2022-07-21
A1G,Australia,AUD,AU,AU0000036949,African Gold Ltd,Common Stock,0.093,2022-07-21
ARI,South Africa,ZAC,JSE,ZAE000054045,African Rainbow Minerals Ltd,Common Stock,21850.0,2022-07-21
ATM,UK,GBX,LSE,GG00BD95V148,AfriTin Mining Ltd,Common Stock,4.85,2022-07-21
AGARIND,India,INR,NSE,INE204E01012,Agarwal Industrial Corporation Limited,Common Stock,462.2,2022-07-21
5201,Japan,JPY,TSE,JP3112000009,AGC Inc,Common Stock,4875.0,2022-07-21
AGCO,USA,USD,US,US0010841023,AGCO Corporation,Common Stock,98.77,2022-07-21
AU1,Australia,AUD,AU,AU000000AU12,Agency Group Australia Ltd,Common Stock,0.042,2022-07-21
AGEN,USA,USD,US,US00847G7051,Agenus Inc,Common Stock,2.85,2022-07-21
AGE,Australia,AUD,AU,AU000000AGE2,Alligator Energy Ltd,Common Stock,0.055,2022-07-21
3383,Hong Kong,HKD,HK,KYG011981035,Agile Group Holdings Ltd,Common Stock,2.5700000000000003,2022-07-21
A,USA,USD,US,US00846U1016,Agilent Technologies Inc,Common Stock,127.19,2022-07-21
AGYS,USA,USD,US,US00847J1051,Agilysys Inc,Common Stock,52.78,2022-07-21
AGI,Australia,AUD,AU,AU000000AGI3,Ainsworth Game Technology Ltd,Common Stock,0.85,2022-07-21
AJX,Australia,AUD,AU,AU000000AJX6,Alexium International Group,Common Stock,0.028,2022-07-21
AGL,Australia,AUD,AU,AU000000AGL7,AGL Energy Ltd,Common Stock,8.45,2022-07-21
AEM,USA,USD,US,CA0084741085,Agnico Eagle Mines Limited,Common Stock,41.38,2022-07-21
9704,Japan,JPY,TSE,JP3561200001,Agora Hospitality Group Co Ltd,Common Stock,22.0,2022-07-21
3467,Japan,JPY,TSE,JP3108170006,Agratio Urban Design Inc,Common Stock,1504.0,2022-07-21
APEOF,USA,USD,US,CA39986E1051,Coloured Ties Capital Inc,Common Stock,0.26,2022-07-21
1288,Hong Kong,HKD,HK,CNE100000Q43,Agricultural Bank Of China,Common Stock,2.56,2022-07-21
AMN,Australia,AUD,AU,AU000000AMN1,Agrimin Ltd,Common Stock,0.405,2022-07-21
AM,France,EUR,PA,FR0014004L86,Dassault Aviation SA,Common Stock,139.3,2022-07-21
AGTA,UK,GBX,LSE,GG00BDG13C09,Agriterra Limited,Common Stock,5.825,2022-07-21
AGROPHOS,India,INR,NSE,INE740V01019,Agro Phos India Limited,Common Stock,31.35,2022-07-21
ATFL,India,INR,NSE,INE209A01019,Agro Tech Foods Limited,Common Stock,816.8,2022-07-21
4955,Japan,JPY,TSE,JP3108200001,Agro-Kanesho Co Ltd,Common Stock,1333.0,2022-07-21
AGT,Poland,PLN,WAR,CY0101062111,Agroton Public Ltd.,Common Stock,3.5,2022-07-21
8279,Hong Kong,HKD,HK,BMG0135Z1032,AGTech Holdings Ltd,Common Stock,0.29,2022-07-21
AGR,Australia,AUD,AU,AU000000AGR4,Aguia Resources Ltd,Common Stock,0.055,2022-07-21
5852,Japan,JPY,TSE,JP3100600000,Ahresty Corp,Common Stock,383.0,2022-07-21
3076,Japan,JPY,TSE,JP3105090009,Ai Holdings Corp,Common Stock,1656.0,2022-07-21
AIAENG,India,INR,NSE,INE212H01026,AIA Engineering Limited,Common Stock,2420.25,2022-07-21
01299,Hong Kong,HKD,HK,HK0000069689,AIA Group Ltd,Common Stock,79.2,2022-07-21
AIB,Australia,AUD,AU,AU000000AIB4,Aurora Global Income Trust,Common Stock,0.092,2022-07-21
5482,Japan,JPY,TSE,JP3103600007,Aichi Steel Corp,Common Stock,2148.0,2022-07-21
6118,Japan,JPY,TSE,JP3102400003,Aida Engineering Ltd,Common Stock,922.0,2022-07-21
8515,Japan,JPY,TSE,JP3105040004,Aiful Corp,Common Stock,386.0,2022-07-21
9854,Japan,JPY,TSE,JP3101000002,Aigan Co Ltd,Common Stock,178.0,2022-07-21
9627,Japan,JPY,TSE,JP3105250009,Ain Pharmaciez Inc,Common Stock,7310.0,2022-07-21
AINO,Sweden,SEK,ST,SE0009242555,Aino Health AB,Common Stock,0.52,2022-07-21
6718,Japan,JPY,TSE,JP3105050003,Aiphone Co Ltd,Common Stock,1865.0,2022-07-21
AB1,Germany,EUR,F,GB00B128C026,Air Berlin,Common Stock,0.009000000000000001,2022-07-21
AC,Canada,CAD,TO,CA0089118776,Air Canada,Common Stock,17.0,2022-07-21
AF,France,EUR,PA,FR0000031122,Air France-KLM SA,Common Stock,1.2570000000000001,2022-07-21
APD,USA,USD,US,US0091581068,Air Products and Chemicals Inc,Common Stock,234.59,2022-07-21
AIRAN,India,INR,NSE,INE645W01026,Airan Limited,Common Stock,19.85,2022-07-21
0KVV,UK,EUR,LSE,NL0000235190,Airbus Group SE,Common Stock,104.865,2022-07-21
ANTE,USA,USD,US,US00941Q1040,Airnet Technology Inc,Common Stock,1.3,2022-07-21
ARPT,Israel,ILA,TA,IL0010958358,Airport City Ltd,Common Stock,6329.0,2022-07-21
8864,Japan,JPY,TSE,JP3266050008,Airport Facilities Co Ltd,Common Stock,548.0,2022-07-21
6291,Japan,JPY,TSE,JP3688100001,Airtech Japan Ltd,Common Stock,1052.0,2022-07-21
AAF,UK,GBX,LSE,GB00BKDRYJ47,Airtel Africa Plc,Common Stock,165.4,2022-07-21
6191,Japan,JPY,TSE,JP3167240005,AirTrip Corp,Common Stock,2371.0,2022-07-21
7283,Japan,JPY,TSE,JP3101600009,Aisan Industry Co Ltd,Common Stock,728.0,2022-07-21
4667,Japan,JPY,TSE,JP3101800005,Aisan Technology Co Ltd,Common Stock,1695.0,2022-07-21
7259,Japan,JPY,TSE,JP3102000001,Aisin Seiki Ltd,Common Stock,4310.0,2022-07-21
600271,China,CNY,SHG,CNE000001FB1,Aisino Corp,Common Stock,10.83,2022-07-21
9381,Japan,JPY,TSE,JP3160050005,AIT Corp,Common Stock,1888.0,2022-07-21
AIXA,Germany,EUR,XETRA,DE000A0WMPJ6,AIXTRON SE,Common Stock,26.39,2022-07-21
8708,Japan,JPY,TSE,JP3101850000,Aizawa Securities Co Ltd,Common Stock,720.0,2022-07-21
AJB,UK,GBX,LSE,GB00BFZNLB60,AJ Bell plc,Common Stock,300.0,2022-07-21
AJL,Australia,AUD,AU,AU000000AJL1,AJ Lucas Group Ltd,Common Stock,0.092,2022-07-21
AJANTPHARM,India,INR,NSE,INE031B01049,Ajanta Pharma Limited,Common Stock,1294.95,2022-07-21
2802,Japan,JPY,TSE,JP3119600009,Ajinomoto Co. Inc.,Common Stock,3498.0,2022-07-21
538,Hong Kong,HKD,HK,KYG0192S1093,Ajisen China Holdings Ltd,Common Stock,0.8300000000000001,2022-07-21
AJMERA,India,INR,NSE,INE298G01027,Ajmera Realty & Infra India Limited,Common Stock,265.6,2022-07-21
AKAM,USA,USD,US,US00971T1016,Akamai Technologies Inc,Common Stock,94.15,2022-07-21
1997,Japan,JPY,TSE,JP3131000006,Akatsuki Eazima Co Ltd,Common Stock,1320.0,2022-07-21
7238,Japan,JPY,TSE,JP3108400007,Akebono Brake Industry Co Ltd,Common Stock,159.0,2022-07-21
AKER,Norway,NOK,OL,NO0010234552,Aker ASA,Common Stock,716.0,2022-07-21
1380,Japan,JPY,TSE,JP3107400008,Akikawa Foods & Farms Co Ltd,Common Stock,1055.0,2022-07-21
8343,Japan,JPY,TSE,JP3107600003,Akita Bank Ltd,Common Stock,1710.0,2022-07-21
AKSHOPTFBR,India,INR,NSE,INE523B01011,Aksh Optifibre Limited,Common Stock,9.85,2022-07-21
AKSHARCHEM,India,INR,NSE,INE542B01011,AksharChem India Limited,Common Stock,291.95,2022-07-21
AKTIA,Finland,EUR,HE,FI4000058870,Aktia Bank Abp,Common Stock,9.3,2022-07-21
AKVA,Norway,NOK,OL,NO0003097503,Akva Group,Common Stock,64.6,2022-07-21
AKZOINDIA,India,INR,NSE,INE133A01011,Akzo Nobel India Limited,Common Stock,1930.1,2022-07-21
AKZA,Netherlands,EUR,AS,NL0013267909,Akzo Nobel NV,Common Stock,63.54,2022-07-21
8360,Japan,JPY,TSE,JP3942000005,Yamanashi Chuo Bank Ltd,Common Stock,1138.0,2022-07-21
ASR,USA,USD,US,US40051E2028,Grupo Aeroportuario del Sureste SAB de CV ADR,Common Stock,186.54,2022-07-21
ALG,Australia,AUD,AU,AU0000027484,Ardent Leisure Ltd,Common Stock,0.54,2022-07-21
ALANKIT,India,INR,NSE,INE914E01040,Alankit Limited,Common Stock,11.65,2022-07-21
AUQ,Australia,AUD,AU,AU000000AUQ7,Alara Resources Ltd,Common Stock,0.053,2022-07-21
ALBA,UK,GBX,LSE,GB00B06KBB18,Alba Mineral Resources,Common Stock,0.165,2022-07-21
ALBERTDAVD,India,INR,NSE,INE155C01010,Albert David Limited,Common Stock,578.45,2022-07-21
3906,Japan,JPY,TSE,JP3126460009,Albert Inc,Common Stock,4640.0,2022-07-21
AADV,UK,GBX,LSE,GB0004832472,Albion Development VCT PLC,Common Stock,90.5,2022-07-20
AATG,UK,GBX,LSE,GB0005581672,Albion Technology & General VCT PLC,Common Stock,76.0,2022-07-20
ALBO,USA,USD,US,US01345P1066,Albireo Pharma Inc,Common Stock,25.56,2022-07-21
ALCA,Sweden,SEK,ST,SE0008732218,Alcadon Group AB,Common Stock,72.9,2022-07-21
ALU,Australia,AUD,AU,AU000000ALU8,Altium Ltd,Common Stock,30.75,2022-07-21
ALU,UK,GBX,LSE,GB0000280353,The Alumasc Group plc,Common Stock,139.0,2022-07-21
AMS,South Africa,ZAC,JSE,ZAE000013181,Anglo American Platinum Ltd,Common Stock,115312.0,2022-07-21
AMS,Australia,AUD,AU,AU0000033870,Atomos Ltd,Common Stock,0.32,2022-07-21
ALY,Australia,AUD,AU,AU000000ALY0,Alchemy Resources Ltd,Common Stock,0.018000000000000002,2022-07-21
ALY,Canada,CAD,V,CA03268Y1060,AnalytixInsight Inc,Common Stock,0.39,2022-07-21
ALC,Australia,AUD,AU,AU000000ALC6,Alcidion Group Ltd,Common Stock,0.13,2022-07-21
ALC,Spain,EUR,MC,ES0113312005,Altia Consultores S.A.,Common Stock,24.4,2022-07-21
AA,USA,USD,US,US0138721065,Alcoa Corp,Common Stock,45.15,2022-07-21
3036,Japan,JPY,TSE,JP3126210008,Alconix Corp,Common Stock,1314.0,2022-07-21
AL8,Australia,AUD,AU,AU000000AL88,Alderan Resources Ltd,Common Stock,0.012,2022-07-21
ALELIO,Sweden,SEK,ST,SE0008348072,Alelion Energy Systems AB,Common Stock,0.752,2022-07-21
ALEMBICLTD,India,INR,NSE,INE426A01027,Alembic Limited,Common Stock,71.95,2022-07-21
APLLTD,India,INR,NSE,INE901L01018,Alembic Pharmaceuticals Limited,Common Stock,714.9,2022-07-21
ALFA,UK,GBX,LSE,GB00BDHXPG30,Alfa Financial Software Holdings PLC,Common Stock,153.0,2022-07-21
ALFA,Sweden,SEK,ST,SE0000695876,Alfa Laval AB,Common Stock,297.9,2022-07-21
2784,Japan,JPY,TSE,JP3126340003,Alfresa Holdings Corp,Common Stock,1898.0,2022-07-21
1060,Hong Kong,HKD,HK,BMG0171W1055,Alibaba Pictures Group Ltd,Common Stock,0.67,2022-07-21
AQI,Australia,AUD,AU,AU000000AQI2,Alicanto Minerals Ltd,Common Stock,0.057,2022-07-21
ALCO,USA,USD,US,US0162301040,Alico Inc,Common Stock,35.0,2022-07-21
ALICON,India,INR,NSE,INE062D01024,Alicon Castalloy Limited,Common Stock,704.35,2022-07-21
ALGN,USA,USD,US,US0162551016,Align Technology Inc,Common Stock,284.24,2022-07-21
ALIG,Sweden,SEK,ST,SE0007158910,Alimak Hek Group AB,Common Stock,86.2,2022-07-21
ALO,France,EUR,PA,FR0010220475,Alstom SA,Common Stock,23.0,2022-07-21
