Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
CALTX,Sweden,SEK,ST,SE0010441584,Calliditas Therapeutics,Common Stock,93.3,2022-07-21
CLMT,USA,USD,US,US1314761032,Calumet Specialty Products Partners,Common Stock,10.9,2022-07-21
CAMB,Belgium,EUR,BR,BE0003825420,Campine,Common Stock,40.4,2022-07-21
CTE,India,INR,NSE,INE627H01017,Cambridge Technology Enterprises Limited,Common Stock,57.35,2022-07-21
CAC,USA,USD,US,US1330341082,Camden National Corporation,Common Stock,44.86,2022-07-21
CCJ,USA,USD,US,CA13321L1085,Cameco Corp,Common Stock,23.34,2022-07-21
601311,China,CNY,SHG,CNE1000013D7,Camel Group Co Ltd,Common Stock,11.14,2022-07-21
CAMLINFINE,India,INR,NSE,INE052I01032,Camlin Fine Sciences Limited,Common Stock,116.55,2022-07-21
CPB,USA,USD,US,US1344291091,Campbell Soup Company,Common Stock,47.61,2022-07-21
CCG,Australia,AUD,AU,AU000000CCG2,CommsChoice Group Limited,Common Stock,0.084,2022-07-21
CAV,Australia,AUD,AU,AU000000CAV5,Carnavale Resources Ltd,Common Stock,0.008,2022-07-21
CAV1V,Finland,EUR,HE,FI4000062781,Caverion Ord,Common Stock,4.74,2022-07-21
CAMT,Israel,ILA,TA,IL0010952641,Camtek Ltd,Common Stock,10070.0,2022-07-20
2698,Japan,JPY,TSE,JP3244550004,Can Do Co Ltd,Common Stock,2228.0,2022-07-21
2698,Hong Kong,HKD,HK,CNE1000004M7,Weiqiao Textile Co Ltd,Common Stock,1.58,2022-07-21
CANFINHOME,India,INR,NSE,INE477A01020,Can Fin Homes Limited,Common Stock,541.45,2022-07-21
GOOS,USA,USD,US,CA1350861060,Canada Goose Holdings Inc,Common Stock,19.54,2022-07-21
LL,Canada,CAD,V,CA1352081063,Canada Rare Earth Corp,Common Stock,0.035,2022-07-21
CCX,Australia,AUD,AU,AU0000031767,City Chic Collective Ltd,Common Stock,2.5,2022-07-21
CNI,Australia,AUD,AU,AU000000CNI5,Centuria Capital Ltd,Common Stock,2.03,2022-07-21
9284,Japan,JPY,TSE,JP3048590008,Canadian Solar Infrastructure Fund Inc,Common Stock,120900.0,2022-07-21
SPI,UK,GBX,LSE,GB00BNLPYF73,Spire Healthcare Group Plc,Common Stock,239.5,2022-07-21
CWB,Canada,CAD,TO,CA13677F1018,Canadian Western Bank,Common Stock,25.54,2022-07-21
CANBK,India,INR,NSE,INE476A01014,Canara Bank,Common Stock,226.25,2022-07-21
5819,Japan,JPY,TSE,JP3215300009,Canare Electric Co Ltd,Common Stock,1532.0,2022-07-21
4575,Japan,JPY,TSE,JP3244570002,CanBas Co Ltd,Common Stock,835.0,2022-07-21
CAND,Belgium,EUR,BR,BE0974298300,Candela Invest SA,Common Stock,3.8,2022-07-18
DNT,Canada,CAD,TO,CA13739Y3041,Candente Copper Corp,Common Stock,0.155,2022-07-21
CLB,Australia,AUD,AU,AU0000034712,Candy Club Holdings Ltd,Common Stock,0.06,2022-07-21
