,full_name,name,symbol,Name_197,fuzz_socre1,fuzz_socre2
38678,Saudi Arabia Refineries Co.,SARCO,2030,CABBEEN FASHION LTD,31,17
7594,Cable One Inc,Cable One Inc,CABO,CABLE ONE INC,100,100
33745,Cargo Boat Development Company PLC,Cargo Boat Develop,CABO,CABLE ONE INC,26,26
16964,CVC Ltd,CVC,CVC,CABLEVISION SYSTEMS-NY GRP-A,17,13
36737,Electromechanics Materials JSC,Electromechanics Materials,CVC,CABLEVISION SYSTEMS-NY GRP-A,31,30
3762,Cabot Microelectronics Corporation,Cabot,CCMP,CABOT MICROELECTRONICS CORP,89,31
2872,Cabot Oil & Gas Corp,Cabot Oil&Gas,COG,CABOT OIL & GAS CORP,100,84
3786,Cabot Oil & Gas Corporation,Cabot Oil&Gas,COG,CABOT OIL & GAS CORP,84,84
17468,Armidale Investment Corporation Ltd,Armidale Investment,COG,CABOT OIL & GAS CORP,38,11
26104,CAC Holdings Corp,CAC Holdings Corp,4725,CAC HOLDINGS CORP,100,100
34595,Taiwan Prosperity Chemical Corp,TPCC,4725,CAC HOLDINGS CORP,46,19
17590,Canyon Resources Ltd,Canyon Resources Ltd,CAY,CACHE EXPLORATION INC,29,29
4065,Cache Inc,Cache,CACH,CACHE INC,100,71
5316,CACI International Inc,CACI,CACI,CACI INTERNATIONAL INC -CL A,90,26
17596,Cadence Capital Ltd,Cadence Capital Ltd,CDM,CADENCE CAPITAL LTD,100,100
39171,CDM,CDM,CDM,CADENCE CAPITAL LTD,18,18
3316,Cadence Design Systems Inc,Cadence Design,CDNS,CADENCE DESIGN SYSTEMS INC,100,70
1823,Cadillac Ventures Inc,Cadillac Ventures Inc,CDC,CADILLAC VENTURES INC,100,100
30587,Cityland Development Corp,Cityland Development,CDC,CADILLAC VENTURES INC,43,44
36303,Chuong Duong Corp,Chuong Duong Corp,CDC,CADILLAC VENTURES INC,16,16
49340,Victory CEMP US EQ Income Enhanced Volatility Weighted,Victory CEMP US EQ Income Enhanced Volatility Weig,CDC,CADILLAC VENTURES INC,32,28
4095,Cadiz Inc,Cadiz,CDZI,CADIZ INC,100,71
1840,Colonial Coal International Corp.,Colonial Coal International Corp.,CAD,CADOGAN PETROLEUM PLC,26,26
17584,Caeneus Minerals Ltd,Caeneus Minerals,CAD,CADOGAN PETROLEUM PLC,34,38
36299,Cadovimex Seafood Import Export and Processing JSC,Cadovimex Seafood Import Export,CAD,CADOGAN PETROLEUM PLC,28,23
1840,Colonial Coal International Corp.,Colonial Coal International Corp.,CAD,CAENEUS MINERALS LTD,42,42
17584,Caeneus Minerals Ltd,Caeneus Minerals,CAD,CAENEUS MINERALS LTD,100,89
36299,Cadovimex Seafood Import Export and Processing JSC,Cadovimex Seafood Import Export,CAD,CAENEUS MINERALS LTD,29,24
1322,Pentanova Energy Corp,Pentanova Energy,CZR,CAESARS ENTERTAINMENT CORP,51,43
7011,Caesars Entertainment Corporation,Caesars,CZR,CAESARS ENTERTAINMENT CORP,88,42
17658,Coziron Resources Ltd,Coziron Resources Ltd,CZR,CAESARS ENTERTAINMENT CORP,21,21
7009,Caesarstone Ltd,Caesarstone,CSTE,CAESARSTONE LTD,100,85
22272,Cafe De Coral Holdings Ltd,Cafe De Coral Holdings Ltd,0341,CAFE DE CORAL HOLDINGS LTD,100,100
5344,Cai International Inc,Cai,CAI,CAI INTERNATIONAL INC,100,25
11253,Cairo Communication,Cairo Communication,CAI,CAI INTERNATIONAL INC,55,55
1161,Canacol Energy Ltd.,Canacol Energy,CNE,CAIRN ENERGY PLC,71,67
2454,Canacol Energy Ltd,Canacol Energy,CNE,CAIRN ENERGY PLC,71,67
15851,Cairn Energy PLC,Cairn,CNE,CAIRN ENERGY PLC,100,48
19977,Hna-Caissa Travel Group Co Ltd,Hna-Caissa Travel Group,000796,CAISSA TOSUN DEVELOPMENT-A,39,41
4070,CalAmp Corp,CalAmp,CAMP,CALAMP CORP,100,71
25072,Campina Ice Cream Industry Tbk PT,Campina Ice Cream,CAMP,CALAMP CORP,36,50
16902,Capral Ltd,Capral,CAA,CALATLANTIC GROUP INC,26,22
4199,Calavo Growers Inc,Calavo Growers,CVGW,CALAVO GROWERS INC,100,88
25728,Calbee Inc,Calbee Inc,2229,CALBEE INC,100,100
1534,Caldwell Partners International Inc,Caldwell Partners International Inc,CWL,CALDWELL PARTNERS INTL,77,77
15936,Caledonia Investments,Caledonia Invest,CLDN,CALEDONIA INVESTMENTS PLC,91,78
36308,Cotec Investment and Land-House Development JSC,Cotec Investment and Land House Dev,CLG,CALEIDO GROUP SPA,28,35
40527,iShares 1-10Yr Laddered Government Bond Common Class,iShares 1-10Yr Laddered Government Bond Common Cla,CLG,CALEIDO GROUP SPA,26,27
1434,Caledonia Mining Corporation Plc,Caledonia Mining,CAL,CALERES INC,42,52
5403,Caleres Inc,Caleres,CAL,CALERES INC,100,78
16042,Capital & Regional PLC,Capital Regional,CAL,CALERES INC,45,52
5440,CNA Financial Corporation,CNA Financial,CNA,CALGON CARBON CORP,33,19
15815,Centrica PLC,Centrica,CNA,CALGON CARBON CORP,27,15
16524,Chaarat Gold Holdings Ltd,Chaarat Gold,CGH,CALIBRE GROUP LTD,48,55
35597,Country Group Holdings PCL,Country Group Hold,CGH,CALIBRE GROUP LTD,51,63
14853,Calida Holding AG,Calida Holding AG,CALN,CALIDA HOLDING-REG,80,80
5344,Cai International Inc,Cai,CAI,CALIDUS RESOURCES LTD,14,25
11253,Cairo Communication,Cairo Communication,CAI,CALIDUS RESOURCES LTD,30,30
1824,California Gold Mining Inc,California Gold,CGM,CALIFORNIA GOLD MINING INC,100,73
5295,CNO Financial Group Inc,CNO Financial,CNO,CALIFORNIA NANOTECHNOLOGIES,28,35
36982,Create Capital Vietnam Limited JSC,Create Capital Vietnam,CRC,CALIFORNIA RESOURCES CORP,20,34
5109,California Water Service Group,California Water Service,CWT,CALIFORNIA WATER SERVICE GRP,97,92
35055,Chai Watana Tannery Group PCL,Chai Watana Tannery,CWT,CALIFORNIA WATER SERVICE GRP,49,43
17216,Calima Energy Ltd,Calima Energy,CE1,CALIMA ENERGY LTD,100,87
5647,Calix Inc,Calix,CALX,CALIX INC,100,71
1860,Ely Gold Royalties Inc,Ely Gold Royalties,ELY,CALLAWAY GOLF COMPANY,28,31
5447,Callaway Golf Company,Callaway Golf,ELY,CALLAWAY GOLF COMPANY,100,76
10173,Callaway Golf Co,Callaway Golf,ELY,CALLAWAY GOLF COMPANY,86,76
14685,Calliditas Therapeutics,Calliditas Therapeutics,CALTX,CALLIDITAS THERAPEUTICS-B,96,96
5348,Callon Petroleum Company,Callon Petroleum,CPE,CALLON PETROLEUM CO,88,91
14863,Castle Private Equity AG,Castle Private Equity AG,CPE,CALLON PETROLEUM CO,33,33
12047,CEZ as,CEZ as,CEZ,CALMENA ENERGY SERVICES INC,24,24
35052,Central Pattana PCL,Central Pattana,CPN,CALPINE CORP,45,37
4127,Calumet Specialty Products Partners,Calumet,CLMT,CALUMET SPECIALTY PRODUCTS,85,42
7520,Cambium Networks Corp,Cambium Networks,CMBM,CAMBIUM NETWORKS CORP,100,86
5578,Cambrex Corporation,Cambrex,CBM,CAMBREX CORP,77,74
8261,Campine,Campine,CAMB,CAMBRIA AUTOMOBILES PLC,27,27
6489,Cambridge Bancorp,Cambridge Bancorp,CATC,CAMBRIDGE BANCORP,100,100
12794,Cenospheres Trade & Engineering SA,Cenospheres Trade,CTE,CAMBRIDGE TECHNOLOGY ENTERPR,37,36
17637,Cryosite Ltd,Cryosite Ltd,CTE,CAMBRIDGE TECHNOLOGY ENTERPR,30,30
2560,CAC 2000 Ltd,CAC 2000,CAC,CAMDEN NATIONAL CORP,19,21
4063,Camden National Corporation,Camden,CAC,CAMDEN NATIONAL CORP,85,46
41191,Lyxor UCITS CAC 40 (DR) D-EUR,Lyxor UCITS CAC 40 (DR) D-EUR,CAC,CAMDEN NATIONAL CORP,38,38
6262,Camden Property Trust,Camden Property,CPT,CAMDEN PROPERTY TRUST,100,83
35836,CPT Drives And Power PCL,CPT Drives,CPT,CAMDEN PROPERTY TRUST,36,26
3436,Cameco Corp,Cameco,CCJ,CAMECO CORP,100,71
17593,County Coal Ltd,County Coal Ltd,CCJ,CAMECO CORP,38,38
19129,Camel Group Co Ltd,Camel Group,601311,CAMEL GROUP CO LTD-A,95,71
12870,Cambridge Chocolate Technologies SA,Cambridge Chocolate,CAM,CAMERON INTERNATIONAL CORP,36,40
17586,Clime Capital Ltd,Clime Capital Ltd,CAM,CAMERON INTERNATIONAL CORP,28,28
1828,Camino Minerals Corporation,Camino Minerals Corporation,COR,CAMINO MINERALS CORP,85,85
5377,CoreSite Realty Corporation,CoreSite,COR,CAMINO MINERALS CORP,43,36
3462,Campbell Soup Company,Campbell Soup,CPB,CAMPBELL SOUP CO,86,90
8261,Campine,Campine,CAMB,CAMPINE S.A.,78,78
1516,Camrova Resources Inc,Camrova Res,CAV,CAMROVA RESOURCES INC,100,69
17589,Carnavale Resources Ltd,Carnavale Resources Ltd,CAV,CAMROVA RESOURCES INC,73,73
29923,Cavalier Corporation Ltd,Cavalier,CAV,CAMROVA RESOURCES INC,36,41
36300,Vietnam Electric Cable Corp,Vietnam Electric Cable Corp,CAV,CAMROVA RESOURCES INC,33,33
22751,Camsing International Holding Ltd,Camsing Intl,2662,CAMSING INTERNATIONAL HOLDIN,92,60
4071,Camtek Ltd,Camtek,CAMT,CAMTEK LIMITED,83,60
25838,Can Do Co Ltd,Can Do Co Ltd,2698,CAN DO CO LTD,100,100
5073,Can Fite Biopharma Ltd ADR,Can Fite Biopharma ADR,CANF,CAN FITE BIOPHARMA LTD-ADR,100,92
37654,Can Fite Biopharma Ltd,Can Fite Biopharma,CANF,CAN FITE BIOPHARMA LTD-ADR,92,82
1825,Canada Carbon Inc.,Canada Carbon Inc.,CCB,CANADA CARBON INC,100,100
2450,Cemargos,Cemargos,CCB,CANADA CARBON INC,32,32
6527,Coastal Financial Corp,Coastal Financial,CCB,CANADA CARBON INC,21,24
1919,Canada Goose Holdings Inc,Canada Goose,GOOS,CANADA GOOSE HOLDINGS INC,100,65
6291,CyrusOne Inc,CyrusOne,CONE,CANADA ONE MINING CORP,29,33
1335,Canada Rare Earth Corp,Canada Rare Earth,LL,CANADA RARE EARTH CORP,100,87
5151,Lumber Liquidators Holdings Inc,Lumber Liquidators,LL,CANADA RARE EARTH CORP,30,35
7736,Boise Cascad Llc,Boise Cascad Llc,BCC,CANADIAN BIOCEUTICAL CORP/TH,45,45
35916,Bim Son Cement JSC,Bim Son Cement JSC,BCC,CANADIAN BIOCEUTICAL CORP/TH,35,35
17034,City Chic Collective Ltd,City Chic Collective,CCX,CANADIAN CRUDE OIL INDEX ETF,31,25
40633,Canadian Crude Oil,Canadian Crude Oil,CCX,CANADIAN CRUDE OIL INDEX ETF,78,78
12125,Ceramika Nowa Gala SA,Ceramika Nowa Gala,CNG,CANADIAN MINING CORP,24,26
36315,CNG Vietnam JSC,CNG Vietnam JSC,CNG,CANADIAN MINING CORP,23,23
17112,Centuria Capital Ltd,Centuria Capital,CNI,CANADIAN NATL RAILWAY CO,32,25
944,Canadian Natural Resources Ltd,Canadian Natural,CNQ,CANADIAN NATURAL RESOURCES,93,76
5159,Canadian Natural Resources Limited,Canadian Natural,CNQ,CANADIAN NATURAL RESOURCES,87,76
4954,Chicago Rivet and Machine Co,Chicago Rivet&Machine,CVR,CANADIAN OIL RECOVERY & REME,26,30
8590,Cosmos Insuran,Cosmos Insuran,COS,CANADIAN OIL SANDS LTD,17,17
946,Canadian Pacific Railway Limited,Canadian Pacific Railway,CP,CANADIAN PACIFIC RAILWAY LTD,93,92
7683,Cooper Stnd,Cooper Stnd,CPS,CANADIAN PREMIUM SAND INC,39,39
12057,Cyfrowy Polsat SA,Cyfrowy Polsat SA,CPS,CANADIAN PREMIUM SAND INC,29,29
1369,Canadian Spirit Resources Inc,Canadian Spirit Resources,SPI,CANADIAN SPIRIT RESOURCES,93,100
7179,SPI Energy Co Ltd,SPI Energy,SPI,CANADIAN SPIRIT RESOURCES,33,34
16812,Spire Healthcare Group plc,Spire Healthcare,SPI,CANADIAN SPIRIT RESOURCES,39,44
35292,Saha Pathana Inter Holding PCL,Saha Pathana Inter,SPI,CANADIAN SPIRIT RESOURCES,25,23
36154,SPILIT STONE,SPILIT STONE,SPI,CANADIAN SPIRIT RESOURCES,27,27
1537,Canadian Tire Corporation Limited,Canadian Tire Corporation,CTC,CANADIAN TIRE CORP,71,84
2447,Telefonica Chile SA,Telefonica Chile,CTC,CANADIAN TIRE CORP,11,12
8604,Cyprus Trading,Cyprus Trading,CTC,CANADIAN TIRE CORP,31,31
33836,Ceylon Tobacco Company PLC,Ceylon Tobacco,CTC,CANADIAN TIRE CORP,36,31
35946,Gialai Ctc,Gialai Ctc,CTC,CANADIAN TIRE CORP,29,29
953,Canadian Utilities Limited,Canadian Utilities,CU,CANADIAN UTILITIES LTD-A,88,86
956,Canadian Western Bank,Canadian Western Bank,CWB,CANADIAN WESTERN BANK,100,100
50916,SPDR Barclays Convertible Securities,SPDR Barclays Convertible Securities,CWB,CANADIAN WESTERN BANK,35,35
45337,Amundi ETF MSCI World Financials UCITS,Amundi ETF MSCI World Financials UCITS,CWF,CANADIAN WORLD FUND LTD,43,43
27905,Canare Electric Co Ltd,Canare Electric,5819,CANARE ELECTRIC CO LTD,100,81
39289,Computer Wh,Computer Wh,CWG,CANARY WHARF GROUP PLC.,30,30
5440,CNA Financial Corporation,CNA Financial,CNA,CANASIA FINANCIAL INC,61,76
15815,Centrica PLC,Centrica,CNA,CANASIA FINANCIAL INC,24,14
17619,Classic Minerals Ltd,Classic Minerals Ltd,CLZ,CANASIL RESOURCES,43,43
28339,CanBas Co Ltd,CanBas,4575,CANBAS CO LTD,100,63
2096,Candelaria Mining Corp,Candelaria Mining,CAND,CANDELA INVEST,56,65
8353,Candela Invest SA,Candela Invest,CAND,CANDELA INVEST,90,100
1184,Candente Copper Corp,Candente Copper,DNT,CANDENTE COPPER CORP,100,86
3227,Candente Copper,Candente Copper,DNT,CANDENTE COPPER CORP,86,86
1541,Candente Gold Corp.,Candente Gold Corp.,CDG,CANDENTE GOLD CORP,100,100
17595,Cleveland Mining Co Ltd,Cleveland Mining Co Ltd,CDG,CANDENTE GOLD CORP,44,44
37176,Cau Duong JSC,Cau Duong,CDG,CANDENTE GOLD CORP,32,30
5376,Core Laboratories NV,Core Laboratories,CLB,CANDY CLUB HOLDINGS LTD,33,25
1155,Canfor Pulp Products Inc.,Canfor Pulp Products,CFX,CANFOR PULP PRODUCTS INC,100,91
7643,Colfax Corporation,Colfax,CFX,CANFOR PULP PRODUCTS INC,29,13
16614,Colefax Group,Colefax,CFX,CANFOR PULP PRODUCTS INC,38,13
37727,Cofix Group Ltd,Cofix Group,CFX,CANFOR PULP PRODUCTS INC,31,40
1542,CaNickel Mining Ltd,CaNickel Mining,CML,CANICKEL MINING LTD,100,88
17841,Chase Mining Corporation Ltd,Chase Mining,CML,CANICKEL MINING LTD,60,65
42455,db x-trackers II Harvest CSI China Sovereign Bond UCITS DR 1D,db x-trackers II Harvest CSI China Sovereign Bond,CGB,CANN GLOBAL LTD,18,19
2866,Carrefour SA,Carrefour,CAN,CANN GROUP LTD,46,43
17944,Cann Group Ltd,Cann Group,CAN,CANN GROUP LTD,100,83
35932,Ha Long Canned Food JSC,Ha Long Canned Food JSC,CAN,CANN GROUP LTD,43,43
37366,Suez Canal Bank,Suez Canal Bank,CANA,CANNAMERICA BRANDS CORP,47,47
7266,The Lovesac Company,Lovesac,LOVE,CANNARA BIOTECH INC,26,23
49459,Direxion Daily Pharmaceutical & Medical Bull 3X Shares ETF,Direxion Daily Pharmaceutical & Medical Bull 2X Sh,PILL,CANNTAB THERAPEUTICS LTD,28,31
1942,CannTrust Holdings Inc,CannTrust,TRST,CANNTRUST HOLDINGS INC,100,58
6422,TrustCo Bank Corp NY,TrustCo Bank NY,TRST,CANNTRUST HOLDINGS INC,43,49
18215,Trust Bank First Mutual Fund,Trust Bank First,TRST,CANNTRUST HOLDINGS INC,32,37
24589,Trias Sentosa Tbk,Trias Sentosa,TRST,CANNTRUST HOLDINGS INC,21,23
27071,Canon Electronics Inc,Canon Electronics,7739,CANON ELECTRONICS INC,100,89
25593,Canon Marketing Japan Inc,Canon Marketing Japan Inc,8060,CANON MARKETING JAPAN INC,100,100
38622,Saudi United Cooperative Insurance,Walaa,8060,CANON MARKETING JAPAN INC,34,20
17853,Costa Group Holdings Ltd,Costa Group Holdings Ltd,CGC,CANOPY GROWTH CORP,33,33
27550,So-net Media Networks Corp,So-net Media,6185,CANSINO BIOLOGICS INC-H,24,11
1829,Canstar Resources Inc,Canstar,ROX,CANSTAR RESOURCES INC,100,50
30689,Roxas Holdings Inc,Roxas,ROX,CANSTAR RESOURCES INC,46,15
1843,Commander Resources Ltd,Commander Resources,CMD,CANTEL MEDICAL CORP,33,37
5407,Cantel Medical Corp,Cantel Medical,CMD,CANTEL MEDICAL CORP,100,85
17753,Gulf Industrials Ltd,Gulf Industrials,CMD,CANTEL MEDICAL CORP,31,34
4158,Canterbury Park Holding Corporation,Canterbury Park,CPHC,CANTERBURY PARK HOLDING CORP,89,70
1830,Canterra Minerals Corporation,Canterra Minerals Corporation,CTM,CANTERRA MINERALS CORP,86,86
17638,Centaurus Metals Ltd,Centaurus Metals Ltd,CTM,CANTERRA MINERALS CORP,52,52
39177,CTM,CTM,CTM,CANTERRA MINERALS CORP,24,24
1147,Cantex Mine Development Corp,Cantex Mine,CD,CANTEX MINE DEVELOPMENT CORP,100,56
16886,Codan Ltd,Codan,CDA,CANUC RESOURCES CORP,28,24
39189,Centrale Danone,Centrale Danone,CDA,CANUC RESOURCES CORP,29,29
22207,Canvest Environmental Protection Group Co Ltd,Canvest Environmental Protection,1381,CANVEST ENVIRONMENTAL PROTEC,77,93
26193,Axyz Co Ltd,Axyz,1381,CANVEST ENVIRONMENTAL PROTEC,10,6
17605,CogState Ltd,CogState Ltd,CGS,CANWEST GLOBAL COMMUNICATIONS CORP. SV,29,29
17590,Canyon Resources Ltd,Canyon Resources Ltd,CAY,CANYON RESOURCES LTD,100,100
14107,Capacent Holding AB,Capacent Holding AB,CAPAC,CAPACENT HOLDING AB,100,100
25653,Capcom Co Ltd,Capcom Co Ltd,9697,CAPCOM CO LTD,100,100
17181,Cape Lambert Resources Ltd,Cape Lambert Resources,CFE,CAPE LAMBERT RESOURCES LTD,100,92
9233,Capelli SA,Capelli,CAPLI,CAPELLI,82,100
3183,Capgemini SE,Capgemini,CAPGN,CAPGEMINI SE,100,86
5651,Cosan Ltd,Cosan Ltd,CZZ,CAPILANO HONEY LTD,52,52
28529,Capital Asset Planning Inc,Capital Asset Planning,3965,CAPITAL ASSET PLANNING INC,100,92
6536,Capital Bancorp,Capital Bancorp,CBNK,CAPITAL BANCORP INC/MD,81,81
4087,Capital City Bank Group,Capital City Bank,CCBG,CAPITAL CITY BANK GROUP INC,92,77
28231,Sharingtechnology Inc,Sharingtechnology,3989,CAPITAL ENVIRONMENT HOLDINGS,24,22
1156,Columbus Gold Corp,Columbus Gold Corp,CGT,CAPITAL GEARING TRUST-ORD,28,28
16445,Capital Gearing Trust,Capital Gearing,CGT,CAPITAL GEARING TRUST-ORD,91,75
3050,Capital One Financial Corporation,Capital One Financial,COF,CAPITAL ONE FINANCIAL CORP,88,89
10554,Capital One Financial Corp,Capital One Financial,COF,CAPITAL ONE FINANCIAL CORP,100,89
37757,Capital Point,Capital Point,CPTP,CAPITAL POINT LTD,87,87
948,Capital Power Corporation,Capital Power,CPX,CAPITAL POWER CORP,84,84
37757,Capital Point,Capital Point,CPTP,CAPITAL PROPERTIES INC-CL A,55,55
1464,Constellation Software Inc.,Constellation Software,CSU,CAPITAL SENIOR LIVING CORP,31,33
5228,Capital Senior Living Corporation,Capital Senior Living,CSU,CAPITAL SENIOR LIVING CORP,88,89
4184,Capital Southwest Corporation,Capital Southwest,CSWC,CAPITAL SOUTHWEST CORP,86,87
34238,Compal Electronics Inc,Compal,2324,CAPITAL VC LTD,50,40
7381,Capitala Finance Corp,Capitala Finance Corp,CPTA,CAPITALA FINANCE CORP,100,100
17635,Copper Strike Ltd,Copper Strike Ltd,CSE,CAPITALSOURCE INC,24,24
39117,Cons SE,Cons SE,CSE,CAPITALSOURCE INC,25,25
1562,Condor Petroleum Inc,Condor Petroleum,CPI,CAPITEC BANK HOLDINGS LTD,31,29
15833,Capita PLC,Capita,CPI,CAPITEC BANK HOLDINGS LTD,34,32
35065,Chumporn Palm Oil Industry PCL,Chumporn Palm Oil,CPI,CAPITEC BANK HOLDINGS LTD,25,10
37162,Cailanport Investment JSC,Cailanport Invest,CPI,CAPITEC BANK HOLDINGS LTD,28,33
49987,IQ Real Return,IQ Real Return,CPI,CAPITEC BANK HOLDINGS LTD,10,10
4106,Capitol Federal Financial Inc,Capitol Federal,CFFN,CAPITOL FEDERAL FINANCIAL IN,98,70
3698,Canon Inc ADR,Canon ADR,CAJ,CAPITOL HEALTH LIMITED,17,19
17328,Capitol Health Ltd,Capitol Health,CAJ,CAPITOL HEALTH LIMITED,90,78
15849,London Stock Exchange Group PLC,London Stock Exchange,LSE,CAPLEASE INC,28,36
16902,Capral Ltd,Capral,CAA,CAPRAL LTD,100,75
4809,Capri Holdings Ltd,Capri Holdings,CPRI,CAPRI HOLDINGS LTD,100,88
11149,Davide Campari Milano SpA,Campari,CPRI,CAPRI HOLDINGS LTD,37,40
25144,Capri Nusa Satu Properti Tbk PT,Capri Nusa Satu Properti,CPRI,CAPRI HOLDINGS LTD,45,48
33965,Softlogic Finance PLC,Softlogic Finance,CAPR,CAPRICOR THERAPEUTICS INC,17,14
13689,CommCenter SA,CommCenter,CMM,CAPRICORN METALS LTD,30,20
17962,Capricorn Metals Ltd,Capricorn Metals,CMM,CAPRICORN METALS LTD,100,89
6501,Capstar Financial Holdings Inc,Capstar Financial,CSTR,CAPSTAR FINANCIAL HOLDINGS I,97,76
30213,Crescent Star Insurance Ltd,Crescent Star Insurance,CSTR,CAPSTAR FINANCIAL HOLDINGS I,22,24
5319,Capstead Mortgage Corporation,Capstead Mortgage,CMO,CAPSTEAD MORTGAGE CORP,86,87
9429,Crcam Morbihan,Crcam Morbihan,CMO,CAPSTEAD MORTGAGE CORP,39,39
29925,Colonial Motor Company Ltd,Colonial Motor,CMO,CAPSTEAD MORTGAGE CORP,42,33
8984,Capgemini SE,Capgemini,CAPP,CAPSTONE FINANCIAL GROUP INC,40,38
22058,CAR Inc,CAR Inc,0699,CAR INC,100,100
6590,Cara Therapeutic,Cara Therapeutic,CARA,CARA THERAPEUTICS INC,86,86
16307,Park Group PLC,Park Group,APP,CARASENT ASA,23,27
35910,APP,APP,APP,CARASENT ASA,13,13
37924,Carasso,Carasso,CRSO,CARASSO MOTORS LTD,56,56
1539,CanAlaska Uranium Ltd,CanAlaska Uranium,CVV,CARAVEL MINERALS LTD,54,27
4202,CVD Equipment Corporation,CVD Equipment,CVV,CARAVEL MINERALS LTD,36,36
17645,Caravel Minerals Ltd,Caravel Minerals Ltd,CVV,CARAVEL MINERALS LTD,100,100
1174,CanWel Building Materials Group Ltd,CanWel Building Materials,CWX,CARAWINE RESOURCES LTD,35,26
17631,Carbine Resources Ltd,Carbine Resources Ltd,CRB,CARBINE RESOURCES LTD,100,100
41288,Lyxor Commodities Thomson Reuters/CoreCommodity CRB TR UCITS ETF - Acc-EUR,Lyxor UCITS Commodities Thomson Reuters/Corecommod,CRB,CARBINE RESOURCES LTD,30,37
41370,Amundi ETF DAX UCITS ETF DR,Amundi DAX UCITS,CG1,CARBONXT GROUP LTD,9,12
48044,Amundi MSCI Germany UCITS,Amundi DAX UCITS,CG1,CARBONXT GROUP LTD,33,12
28726,Carchs Holdings Co Ltd,Carchs,7602,CARCHS HOLDINGS CO LTD,100,43
2504,Carreras Ltd,Carreras,CAR,CARCLO PLC,36,33
4883,Avis Budget Group Inc,Avis,CAR,CARCLO PLC,6,14
17255,Carsales.Com Ltd,Carsales.Com,CAR,CARCLO PLC,38,45
38142,International Cards Company,Int'L Cards Co.,CARD,CARD FACTORY PLC,42,60
26716,Cardinal Co Ltd,Cardinal,7855,CARDINAL CO LTD,100,70
3411,Cardinal Health Inc,Cardinal Health,CAH,CARDINAL HEALTH INC,100,88
10633,Cardinal Health MU,Cardinal Health,CAH,CARDINAL HEALTH INC,86,88
4179,Cardiovascular Systems Inc,Cardiovascular,CSII,CARDIOVASCULAR SYSTEMS INC,100,70
7256,Cardlytics Inc,Cardlytics,CDLX,CARDLYTICS INC,100,83
16958,Cardno Ltd,Cardno,CDD,CARDNO LTD,100,75
4078,Cardtronics Inc,Cardtronics,CATM,CARDTRONICS PLC - A,81,79
16999,Credit Corp Group Ltd,Credit Corp Group,CCP,CARE CAPITAL PROPERTIES INC,38,36
35062,Chonburi Concrete Product PCL,Chonburi Concrete,CCP,CARE CAPITAL PROPERTIES INC,46,32
36878,Hai Phong Cua Cam Port JSC,Hai Phong Cua Cam,CCP,CARE CAPITAL PROPERTIES INC,53,45
8313,CP Invest,CP Invest,CPINV,CARE PROPERTY INVEST,55,55
26268,Care Service Co Ltd,Care Service,2425,CARE SERVICE CO LTD,100,77
34305,Chaintech Technology Corp,Chaintech,2425,CARE SERVICE CO LTD,36,29
25807,Career Design Center Co Ltd,Career Design Center,2410,CAREER DESIGN CENTER CO LTD,100,85
12927,Cofina SGPS,Cofina,CFN,CAREFUSION CORP,23,19
5122,Charles River Laboratories,Charles River Laboratories,CRL,CAREL INDUSTRIES SPA,48,48
17632,Comet Resources Ltd,Comet Resources Ltd,CRL,CAREL INDUSTRIES SPA,36,36
28308,CareNet Inc,CareNet,2150,"CARENET, INC.",100,78
38688,The National Co for Glass Industrie,Zoujaj,2150,"CARENET, INC.",22,12
16014,Caretech Holdings PLC,Caretech,CTH,CARETECH HOLDINGS PLC,100,55
6849,Caretrust Inc,Caretrust Inc,CTRE,CARETRUST REIT INC,84,84
1544,Cargojet Inc,Cargojet,CJT,CARGOJET INC,100,80
7238,CarGurus,CarGurus,CARG,CARGURUS INC,80,80
33805,Cargills PLC,Cargills,CARG,CARGURUS INC,58,50
17631,Carbine Resources Ltd,Carbine Resources Ltd,CRB,CARIBOO ROSE RESOURCES LTD,77,77
41288,Lyxor Commodities Thomson Reuters/CoreCommodity CRB TR UCITS ETF - Acc-EUR,Lyxor UCITS Commodities Thomson Reuters/Corecommod,CRB,CARIBOO ROSE RESOURCES LTD,29,37
15984,Carillion PLC,Carillion,CLLN,CARILLION PLC,100,82
16903,Carindale Property Trust,Carindale Property Trust,CDP,CARINDALE PROPERTY TRUST,100,100
36731,An Giang Agriculture and Foods Import-Export JSC,An Giang Agriculture and Foods,AFX,CARL ZEISS MEDITEC AG - BR,17,30
1833,Carlin Gold Corporation,Carlin Gold Corporation,CGD,CARLIN GOLD CORPORATION,100,100
35480,Country Group Development PCL,Country Group Develop,CGD,CARLIN GOLD CORPORATION,35,32
1844,Comstock Metals Ltd,Comstock Metals,CSL,CARLISLE COS INC,23,26
5321,Carlisle Companies Incorporated,Carlisle,CSL,CARLISLE COS INC,68,67
16851,CSL Ltd,CSL,CSL,CARLISLE COS INC,35,32
35077,CS Loxinfo PCL,CS Loxinfo,CSL,CARLISLE COS INC,40,38
26026,Carlit Holdings Co Ltd,Carlit Holdings,4275,CARLIT HOLDINGS CO LTD,100,81
5748,Carlsberg AS,Carlsberg AS,CABGY,CARLSBERG AS-B-SPON ADR,69,69
16938,Carlton Investments Ltd,Carlton Investments,CIN,CARLTON INVESTMENTS LIMITED,92,83
